Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,0.1412
373248000,12288,0,0,0,0,0,0,0,0,0,0.2973
559872000,18432,0,0,0,0,0,0,0,0,0,0.5311
746496000,24576,0,0,0,0,0,0,0,0,0,0.8364
559872000,36864,0,0,0,0,0,0,0,0,0,0.7715
684288000,11264,0,0,0,0,0,0,0,0,0,0.5256
870912000,14336,0,0,0,0,0,0,0,0,0,0.5522
1057536000,17408,0,0,0,0,0,0,0,0,0,0.8335
497664000,36864,0,0,0,0,0,0,0,0,0,0.4798
580608000,43008,0,0,0,0,0,0,0,0,0,0.5714
663552000,49152,0,0,0,0,0,0,0,0,0,0.6831
718848000,53248,0,0,0,0,0,0,0,0,0,0.7249
801792000,59392,0,0,0,0,0,0,0,0,0,0.8516
294912000,65536,0,0,0,0,0,0,0,0,0,0.4189
51840000,2048,0,0,0,0,0,0,0,0,0,0.0681
103680000,4096,0,0,0,0,0,0,0,0,0,0.0883
155520000,6144,0,0,0,0,0,0,0,0,0,0.1021
207360000,8192,0,0,0,0,0,0,0,0,0,0.1075
124416000,8192,0,0,0,0,0,0,0,0,0,0.1053
186624000,12288,0,0,0,0,0,0,0,0,0,0.1215
217728000,14336,0,0,0,0,0,0,0,0,0,0.1143
41472000,4096,0,0,0,0,0,0,0,0,0,0.086
82944000,8192,0,0,0,0,0,0,0,0,0,0.0947
124416000,12288,0,0,0,0,0,0,0,0,0,0.1112
165888000,16384,0,0,0,0,0,0,0,0,0,0.1712
186624000,18432,0,0,0,0,0,0,0,0,0,0.1351
207360000,20480,0,0,0,0,0,0,0,0,0,0.1479
221184000,32768,0,0,0,0,0,0,0,0,0,0.3596
304128000,45056,0,0,0,0,0,0,0,0,0,0.5501
359424000,53248,0,0,0,0,0,0,0,0,0,0.6367
414720000,61440,0,0,0,0,0,0,0,0,0,0.7692
442368000,65536,0,0,0,0,0,0,0,0,0,0.8261
259200000,10240,0,0,0,0,0,0,0,0,0,0.1277
311040000,12288,0,0,0,0,0,0,0,0,0,0.1475
362880000,14336,0,0,0,0,0,0,0,0,0,0.1883
248832000,32768,0,0,0,0,0,0,0,0,0,0.3798
342144000,45056,0,0,0,0,0,0,0,0,0,0.5767
435456000,57344,0,0,0,0,0,0,0,0,0,0.8108
279936000,18432,0,0,0,0,0,0,0,0,0,0.1383
311040000,20480,0,0,0,0,0,0,0,0,0,0.2645
653184000,21504,0,0,0,0,0,0,0,0,0,0.4447
839808000,27648,0,0,0,0,0,0,0,0,0,0.6469
933120000,30720,0,0,0,0,0,0,0,0,0,0.8097
