Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
400000000,242247,0,0,0,0,0,0,0,0,0,0.2641
600000000,379051,0,0,0,0,0,0,0,0,0,0.4785
700000000,492375,0,0,0,0,0,0,0,0,0,0.711
400000000,175837,0,0,0,0,0,0,0,0,0,0.2371
600000000,276982,0,0,0,0,0,0,0,0,0,0.437
700000000,361560,0,0,0,0,0,0,0,0,0,0.6601
200000000,22600,0,0,0,0,0,0,0,0,0,0.0934
300000000,45100,0,0,0,0,0,0,0,0,0,0.1622
500000000,70100,0,0,0,0,0,0,0,0,0,0.2613
600000000,81300,0,0,0,0,0,0,0,0,0,0.3386
700000000,92600,0,0,0,0,0,0,0,0,0,0.4373
60000000,8400,0,0,0,0,0,0,0,0,0,0.0697
100000000,16700,0,0,0,0,0,0,0,0,0,0.0723
200000000,34000,0,0,0,0,0,0,0,0,0,0.0762
900000000,136000,0,0,0,0,0,0,0,0,0,0.294
1000000000,170000,0,0,0,0,0,0,0,0,0,0.419
300000000,43367,0,0,0,0,0,0,0,0,0,0.15
400000000,51368,0,0,0,0,0,0,0,0,0,0.179
400000000,59718,0,0,0,0,0,0,0,0,0,0.211
500000000,68338,0,0,0,0,0,0,0,0,0,0.245
400000000,51992,0,0,0,0,0,0,0,0,0,0.117
500000000,64563,0,0,0,0,0,0,0,0,0,0.168
600000000,77604,0,0,0,0,0,0,0,0,0,0.196
700000000,89214,0,0,0,0,0,0,0,0,0,0.235
700000000,103203,0,0,0,0,0,0,0,0,0,0.3
