Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1327104000,9216,0,0,0,0,0,0,0,0,0,0.7798
884736000,6144,0,0,0,0,0,0,0,0,0,0.4034
589824000,4096,0,0,0,0,0,0,0,0,0,0.2398
1057536000,69632,0,0,0,0,0,0,0,0,0,0.7721
746496000,49152,0,0,0,0,0,0,0,0,0,0.4368
497664000,32768,0,0,0,0,0,0,0,0,0,0.2474
528768000,69632,0,0,0,0,0,0,0,0,0,0.5783
373248000,49152,0,0,0,0,0,0,0,0,0,0.2725
248832000,32768,0,0,0,0,0,0,0,0,0,0.1879
352512000,69632,0,0,0,0,0,0,0,0,0,0.3157
248832000,49152,0,0,0,0,0,0,0,0,0,0.2193
165888000,32768,0,0,0,0,0,0,0,0,0,0.1545
1181952000,38912,0,0,0,0,0,0,0,0,0,0.8467
870912000,28672,0,0,0,0,0,0,0,0,0,0.5666
559872000,18432,0,0,0,0,0,0,0,0,0,0.2672
933120000,61440,0,0,0,0,0,0,0,0,0,0.8057
684288000,45056,0,0,0,0,0,0,0,0,0,0.5578
466560000,30720,0,0,0,0,0,0,0,0,0,0.3153
933120000,92160,0,0,0,0,0,0,0,0,0,0.7537
684288000,67584,0,0,0,0,0,0,0,0,0,0.6431
456192000,45056,0,0,0,0,0,0,0,0,0,0.3318
1181952000,19456,0,0,0,0,0,0,0,0,0,0.7158
870912000,14336,0,0,0,0,0,0,0,0,0,0.4702
559872000,9216,0,0,0,0,0,0,0,0,0,0.2382
1026432000,33792,0,0,0,0,0,0,0,0,0,0.7546
746496000,24576,0,0,0,0,0,0,0,0,0,0.4432
497664000,16384,0,0,0,0,0,0,0,0,0,0.3481
974592000,48128,0,0,0,0,0,0,0,0,0,0.7976
725760000,35840,0,0,0,0,0,0,0,0,0,0.5122
476928000,23552,0,0,0,0,0,0,0,0,0,0.3604
884736000,65536,0,0,0,0,0,0,0,0,0,0.7547
663552000,49152,0,0,0,0,0,0,0,0,0,0.4788
442368000,32768,0,0,0,0,0,0,0,0,0,0.2217
705024000,104448,0,0,0,0,0,0,0,0,0,0.7676
525312000,77824,0,0,0,0,0,0,0,0,0,0.5557
345600000,51200,0,0,0,0,0,0,0,0,0,0.2727
589824000,131072,0,0,0,0,0,0,0,0,0,0.7559
442368000,98304,0,0,0,0,0,0,0,0,0,0.5006
294912000,65536,0,0,0,0,0,0,0,0,0,0.2745
1022976000,37888,0,0,0,0,0,0,0,0,0,0.7831
746496000,27648,0,0,0,0,0,0,0,0,0,0.5127
497664000,18432,0,0,0,0,0,0,0,0,0,0.2167
843264000,62464,0,0,0,0,0,0,0,0,0,0.7993
622080000,46080,0,0,0,0,0,0,0,0,0,0.5352
414720000,30720,0,0,0,0,0,0,0,0,0,0.2822
589824000,65536,0,0,0,0,0,0,0,0,0,0.6302
442368000,49152,0,0,0,0,0,0,0,0,0,0.4364
294912000,32768,0,0,0,0,0,0,0,0,0,0.2245
589824000,65536,0,0,0,0,0,0,0,0,0,0.4109
442368000,49152,0,0,0,0,0,0,0,0,0,0.2993
294912000,32768,0,0,0,0,0,0,0,0,0,0.2316
