Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-0.24112,1.1414
737280000,5120,0,0,0,0,0,0,0,0,-0.24112,0.7464
442368000,3072,0,0,0,0,0,0,0,0,-0.24112,0.3514
684288000,45056,0,0,0,0,0,0,0,0,-0.24112,1.2662
497664000,32768,0,0,0,0,0,0,0,0,-0.24112,0.8551
311040000,20480,0,0,0,0,0,0,0,0,-0.24112,0.444
497664000,65536,0,0,0,0,0,0,0,0,-0.24112,1.3355
373248000,49152,0,0,0,0,0,0,0,0,-0.24112,0.9413
248832000,32768,0,0,0,0,0,0,0,0,-0.24112,0.5472
393984000,77824,0,0,0,0,0,0,0,0,-0.24112,1.3873
290304000,57344,0,0,0,0,0,0,0,0,-0.24112,0.9588
186624000,36864,0,0,0,0,0,0,0,0,-0.24112,0.5303
933120000,30720,0,0,0,0,0,0,0,0,-0.24112,1.364
684288000,22528,0,0,0,0,0,0,0,0,-0.24112,0.936
435456000,14336,0,0,0,0,0,0,0,0,-0.24112,0.5079
715392000,47104,0,0,0,0,0,0,0,0,-0.24112,1.3347
528768000,34816,0,0,0,0,0,0,0,0,-0.24112,0.9236
342144000,22528,0,0,0,0,0,0,0,0,-0.24112,0.5126
580608000,57344,0,0,0,0,0,0,0,0,-0.24112,1.3181
435456000,43008,0,0,0,0,0,0,0,0,-0.24112,0.9283
290304000,28672,0,0,0,0,0,0,0,0,-0.24112,0.5385
1181952000,19456,0,0,0,0,0,0,0,0,-0.24112,1.5068
870912000,14336,0,0,0,0,0,0,0,0,-0.24112,1.0468
559872000,9216,0,0,0,0,0,0,0,0,-0.24112,0.5869
933120000,30720,0,0,0,0,0,0,0,0,-0.24112,1.364
684288000,22528,0,0,0,0,0,0,0,0,-0.24112,0.936
466560000,15360,0,0,0,0,0,0,0,0,-0.24112,0.5614
725760000,35840,0,0,0,0,0,0,0,0,-0.24112,1.1824
539136000,26624,0,0,0,0,0,0,0,0,-0.24112,0.8164
352512000,17408,0,0,0,0,0,0,0,0,-0.24112,0.4503
691200000,51200,0,0,0,0,0,0,0,0,-0.24112,1.3649
497664000,36864,0,0,0,0,0,0,0,0,-0.24112,0.9152
331776000,24576,0,0,0,0,0,0,0,0,-0.24112,0.5297
470016000,69632,0,0,0,0,0,0,0,0,-0.24112,1.3613
345600000,51200,0,0,0,0,0,0,0,0,-0.24112,0.9372
235008000,34816,0,0,0,0,0,0,0,0,-0.24112,0.5601
368640000,81920,0,0,0,0,0,0,0,0,-0.24112,1.416
276480000,61440,0,0,0,0,0,0,0,0,-0.24112,1.0017
184320000,40960,0,0,0,0,0,0,0,0,-0.24112,0.5874
884736000,32768,0,0,0,0,0,0,0,0,-0.24112,1.3342
663552000,24576,0,0,0,0,0,0,0,0,-0.24112,0.9403
442368000,16384,0,0,0,0,0,0,0,0,-0.24112,0.5465
608256000,45056,0,0,0,0,0,0,0,0,-0.24112,1.1721
456192000,33792,0,0,0,0,0,0,0,0,-0.24112,0.8188
304128000,22528,0,0,0,0,0,0,0,0,-0.24112,0.4655
470016000,52224,0,0,0,0,0,0,0,0,-0.24112,1.1061
340992000,37888,0,0,0,0,0,0,0,0,-0.24112,0.7363
230400000,25600,0,0,0,0,0,0,0,0,-0.24112,0.4193
479232000,53248,0,0,0,0,0,0,0,0,-0.24112,1.1326
359424000,39936,0,0,0,0,0,0,0,0,-0.24112,0.7891
239616000,26624,0,0,0,0,0,0,0,0,-0.24112,0.4457
