Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
373248000,242247,0,0,0,0,0,0,0,0,0,0.281
559872000,379051,0,0,0,0,0,0,0,0,0,0.5091
746496000,492375,0,0,0,0,0,0,0,0,0,0.7565
373248000,175837,0,0,0,0,0,0,0,0,0,0.2523
559872000,276982,0,0,0,0,0,0,0,0,0,0.465
746496000,361560,0,0,0,0,0,0,0,0,0,0.7023
165888000,22600,0,0,0,0,0,0,0,0,0,0.0994
331776000,45100,0,0,0,0,0,0,0,0,0,0.1726
497664000,70100,0,0,0,0,0,0,0,0,0,0.278
580608000,81300,0,0,0,0,0,0,0,0,0,0.3603
663552000,92600,0,0,0,0,0,0,0,0,0,0.4653
55296000,8400,0,0,0,0,0,0,0,0,0,0.0742
110592000,16700,0,0,0,0,0,0,0,0,0,0.0769
221184000,34000,0,0,0,0,0,0,0,0,0,0.0811
881280000,136000,0,0,0,0,0,0,0,0,0,0.3128
1036800000,170000,0,0,0,0,0,0,0,0,0,0.4458
311040000,43367,0,0,0,0,0,0,0,0,0,0.1596
373248000,51368,0,0,0,0,0,0,0,0,0,0.1905
435456000,59718,0,0,0,0,0,0,0,0,0,0.2245
497664000,68338,0,0,0,0,0,0,0,0,0,0.2607
373248000,51992,0,0,0,0,0,0,0,0,0,0.1245
466560000,64563,0,0,0,0,0,0,0,0,0,0.1788
559872000,77604,0,0,0,0,0,0,0,0,0,0.2085
653184000,89214,0,0,0,0,0,0,0,0,0,0.25
746496000,103203,0,0,0,0,0,0,0,0,0,0.3192
