Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,const,Loading Avg
0,0,0,0,0,0,0,0,0,0.0609
62208000,2048,0,0,0,0,0,0,0,0.1061
124416000,4096,0,0,0,0,0,0,0,0.1526
186624000,6144,0,0,0,0,0,0,0,0.2219
248832000,8192,0,0,0,0,0,0,0,0.2601
311040000,10240,0,0,0,0,0,0,0,0.3875
373248000,12288,0,0,0,0,0,0,0,0.5541
435456000,14336,0,0,0,0,0,0,0,0.8076
62208000,4096,0,0,0,0,0,0,0,0.1346
124416000,8192,0,0,0,0,0,0,0,0.1905
186624000,12288,0,0,0,0,0,0,0,0.2564
248832000,16384,0,0,0,0,0,0,0,0.3325
311040000,20480,0,0,0,0,0,0,0,0.5526
373248000,24576,0,0,0,0,0,0,0,0.7458
435456000,28672,0,0,0,0,0,0,0,0.985
0,0,0,0,0,131072,0,0,0,0.0675
248832000,8192,0,0,0,131072,0,0,0,0.2957
311040000,10240,0,0,0,131072,0,0,0,0.4242
373248000,12288,0,0,0,131072,0,0,0,0.593
0,0,0,0,32768,0,0,0,0,0.0714
248832000,8192,0,0,32768,0,0,0,0,0.3785
0,0,0,0,32768,131072,0,0,0,0.0817
248832000,8192,0,0,32768,131072,0,0,0,0.46
311040000,10240,0,0,32768,131072,0,0,0,0.5722
373248000,12288,0,0,32768,131072,0,0,0,0.8765
0,0,0,0,8192,262144,0,0,0,0.1016
0,0,0,0,16384,262144,0,0,0,0.1036
0,0,0,0,32768,262144,0,0,0,0.1037
0,0,0,0,65536,262144,0,0,0,0.1295
0,0,0,0,8192,262144,0,0,0,0.1003
0,0,0,0,16384,262144,0,0,0,0.1023
0,0,0,0,32768,262144,0,0,0,0.1038
0,0,0,0,65536,262144,0,0,0,0.1216
0,0,0,0,16384,262144,0,0,0,0.1077
0,0,0,0,32768,262144,0,0,0,0.1005
0,0,0,0,65536,262144,0,0,0,0.1179
0,0,0,0,0,262144,0,0,0,0.0924
248832000,16384,0,0,0,262144,0,0,0,0.3918
311040000,20480,0,0,0,262144,0,0,0,0.677
373248000,24576,0,0,0,262144,0,0,0,0.8971
311040000,5120,0,0,0,65536,0,0,0,0.3499
373248000,6144,0,0,0,65536,0,0,0,0.6347
435456000,7168,0,0,0,65536,0,0,0,0.7683
311040000,10240,0,0,0,131072,0,0,0,0.4152
373248000,12288,0,0,0,131072,0,0,0,0.7343
0,0,0,0,0,131072,0,0,0,0.0692
110592000,8192,0,0,0,131072,0,0,0,0.1528
221184000,16384,0,0,0,131072,0,0,0,0.2554
331776000,24576,0,0,0,131072,0,0,0,0.5906
387072000,28672,0,0,0,131072,0,0,0,0.8143
0,0,0,0,0,131072,0,0,0,0.0689
82944000,18432,0,0,0,131072,0,0,0,0.129
165888000,36864,0,0,0,131072,0,0,0,0.1968
248832000,55296,0,0,0,131072,0,0,0,0.3555
331776000,73728,0,0,0,131072,0,0,0,0.653
340992000,75776,0,0,0,131072,0,0,0,0.6849
350208000,77824,0,0,0,131072,0,0,0,0.73
359424000,79872,0,0,0,131072,0,0,0,0.7608
368640000,81920,0,0,0,131072,0,0,0,0.799
377856000,83968,0,0,0,131072,0,0,0,0.8706
207360000,8192,0,0,0,131072,0,0,0,0.2287
259200000,10240,0,0,0,131072,0,0,0,0.3182
311040000,12288,0,0,0,131072,0,0,0,0.4716
362880000,14336,0,0,0,131072,0,0,0,0.7053
414720000,16384,0,0,0,131072,0,0,0,0.8881
0,0,0,0,0,131072,0,0,0,0.0625
124416000,8192,0,0,0,131072,0,0,0,0.1612
248832000,16384,0,0,0,131072,0,0,0,0.3225
311040000,20480,0,0,0,131072,0,0,0,0.45
373248000,24576,0,0,0,131072,0,0,0,0.7243
404352000,53248,0,0,0,262144,0,0,0,0.9365
0,0,0,0,0,131072,0,0,0,0.0617
82944000,8192,0,0,0,131072,0,0,0,0.1359
165888000,16384,0,0,0,131072,0,0,0,0.2099
207360000,20480,0,0,0,131072,0,0,0,0.291
248832000,24576,0,0,0,131072,0,0,0,0.388
290304000,28672,0,0,0,131072,0,0,0,0.5475
311040000,30720,0,0,0,131072,0,0,0,0.5506
331776000,32768,0,0,0,131072,0,0,0,0.8642
0,0,0,0,0,262144,16,0,0,0.0962
0,0,0,0,0,262144,32,0,0,0.0979
0,0,0,0,0,262144,64,0,0,0.1033
0,0,0,0,0,262144,0,16,0,0.096
0,0,0,0,0,262144,0,32,0,0.0946
0,0,0,0,0,262144,0,64,0,0.1053
0,0,73728000,4096,0,262144,0,0,0,0.1159
0,0,147456000,8192,0,262144,0,0,0,0.1334
0,0,294912000,16384,0,262144,0,0,0,0.2355
0,0,442368000,24576,0,262144,0,0,0,0.455
