Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
6.00E+07,2048,0,0,0,0,0,0,0,0,0,0.1152
1.00E+08,4096,0,0,0,0,0,0,0,0,0,0.1509
2.00E+08,6144,0,0,0,0,0,0,0,0,0,0.2158
2.00E+08,8192,0,0,0,0,0,0,0,0,0,0.3081
6.00E+07,4096,0,0,0,0,0,0,0,0,0,0.1133
1.00E+08,8192,0,0,0,0,0,0,0,0,0,0.1756
2.00E+08,12288,0,0,0,0,0,0,0,0,0,0.2475
2.00E+08,16384,0,0,0,0,0,0,0,0,0,0.3589
3.00E+08,20480,0,0,0,0,0,0,0,0,0,0.5295
4.00E+08,24576,0,0,0,0,0,0,0,0,0,0.919
1.00E+08,4096,0,0,0,65536,0,0,0,0,0,0.168
2.00E+08,6144,0,0,0,65536,0,0,0,0,0,0.2273
6.00E+07,4096,0,0,0,131072,0,0,0,0,0,0.1273
1.00E+08,8192,0,0,0,131072,0,0,0,0,0,0.1899
2.00E+08,12288,0,0,0,131072,0,0,0,0,0,0.2517
2.00E+08,16384,0,0,0,131072,0,0,0,0,0,0.3724
3.00E+08,20480,0,0,0,131072,0,0,0,0,0,0.5312
4.00E+08,24576,0,0,0,131072,0,0,0,0,0,0.9261
0.00E+00,0,0,0,0,32768,0,0,0,0,0,0.0782
6.00E+07,1024,0,0,0,32768,0,0,0,0,0,0.1046
1.00E+08,2048,0,0,0,32768,0,0,0,0,0,0.1896
2.00E+08,3072,0,0,0,32768,0,0,0,0,0,0.2314
2.00E+08,4096,0,0,0,32768,0,0,0,0,0,0.3263
3.00E+08,5120,0,0,0,32768,0,0,0,0,0,0.4269
0.00E+00,0,0,0,0,65536,0,0,0,0,0,0.0658
1.00E+08,8192,0,0,0,65536,0,0,0,0,0,0.3177
2.00E+08,12288,0,0,0,65536,0,0,0,0,0,0.679
3.00E+07,2048,0,0,0,65536,0,0,0,0,0,0.1224
0,0,0,0,0,65536,0,0,0,0,0,0.0657
5.00E+07,2048,0,0,0,65536,0,0,0,0,0,0.1134
1.00E+08,4096,0,0,0,65536,0,0,0,0,0,0.1594
2.00E+08,6144,0,0,0,65536,0,0,0,0,0,0.198
2.00E+08,8192,0,0,0,65536,0,0,0,0,0,0.266
3.00E+08,10240,0,0,0,65536,0,0,0,0,0,0.369
0,0,0,0,0,65536,0,0,0,0,0,0.0646
6.00E+07,4096,0,0,0,65536,0,0,0,0,0,0.1272
2.00E+08,12288,0,0,0,65536,0,0,0,0,0,0.2975
0,0,0,0,0,65536,0,0,0,0,0,0.0683
4.00E+07,4096,0,0,0,65536,0,0,0,0,0,0.1109
8.00E+07,8192,0,0,0,65536,0,0,0,0,0,0.1658
1.00E+08,12288,0,0,0,65536,0,0,0,0,0,0.2283
2.00E+08,16384,0,0,0,65536,0,0,0,0,0,0.2824
2.00E+08,18432,0,0,0,65536,0,0,0,0,0,0.3337
1.00E+08,8192,0,0,0,8192,0,0,0,0,0,0.126
2.00E+08,16384,0,0,0,16384,0,0,0,0,0,0.194
2.00E+08,12288,0,0,0,12288,0,0,0,0,0,0.275
3.00E+07,4096,0,0,0,16384,0,0,0,0,0,0.0759
6.00E+07,8192,0,0,0,24576,0,0,0,0,0,0.1423
8.00E+07,12288,0,0,0,32768,0,0,0,0,0,0.1806
1.00E+08,4096,0,0,0,4096,0,0,0,0,0,0.082
2.00E+08,8192,0,0,0,8192,0,0,0,0,0,0.174
3.00E+08,10240,0,0,0,10240,0,0,0,0,0,0.23
6.00E+07,8192,0,0,0,8192,0,0,0,0,0,0.09
1.00E+08,16384,0,0,0,16384,0,0,0,0,0,0.179
2.00E+08,24576,0,0,0,24576,0,0,0,0,0,0.2876
2.00E+08,32768,0,0,0,32768,0,0,0,0,0,0.48
6.00E+07,4096,0,0,0,4096,0,0,0,0,0,0.063
1.00E+08,8192,0,0,0,8192,0,0,0,0,0,0.126
2.00E+08,12288,0,0,0,12288,0,0,0,0,0,0.206
2.00E+08,16384,0,0,0,16384,0,0,0,0,0,0.302
1.00E+08,4096,0,0,0,4096,0,0,0,0,0,0.102
2.00E+08,6144,0,0,0,6144,0,0,0,0,0,0.156
2.00E+08,8192,0,0,0,8192,0,0,0,0,0,0.217
3.00E+08,9216,0,0,0,9216,0,0,0,0,0,0.262
3.00E+08,10240,0,0,0,10240,0,0,0,0,0,0.406
1.00E+08,16384,0,0,0,16384,0,0,0,0,0,0.169
2.00E+08,20480,0,0,0,20480,0,0,0,0,0,0.219
2.00E+08,24576,0,0,0,24576,0,0,0,0,0,0.291
2.00E+08,28672,0,0,0,28672,0,0,0,0,0,0.365
