Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,0.2586
373248000,12288,0,0,0,0,0,0,0,0,0,0.5445
559872000,18432,0,0,0,0,0,0,0,0,0,0.9729
746496000,24576,0,0,0,0,0,0,0,0,0,1.532
559872000,36864,0,0,0,0,0,0,0,0,0,1.4131
684288000,11264,0,0,0,0,0,0,0,0,0,0.9627
870912000,14336,0,0,0,0,0,0,0,0,0,1.0114
1057536000,17408,0,0,0,0,0,0,0,0,0,1.5267
497664000,36864,0,0,0,0,0,0,0,0,0,0.8787
580608000,43008,0,0,0,0,0,0,0,0,0,1.0465
663552000,49152,0,0,0,0,0,0,0,0,0,1.2512
718848000,53248,0,0,0,0,0,0,0,0,0,1.3277
801792000,59392,0,0,0,0,0,0,0,0,0,1.5599
294912000,65536,0,0,0,0,0,0,0,0,0,0.7673
51840000,2048,0,0,0,0,0,0,0,0,0,0.1247
103680000,4096,0,0,0,0,0,0,0,0,0,0.1618
155520000,6144,0,0,0,0,0,0,0,0,0,0.1871
207360000,8192,0,0,0,0,0,0,0,0,0,0.1968
124416000,8192,0,0,0,0,0,0,0,0,0,0.1929
186624000,12288,0,0,0,0,0,0,0,0,0,0.2226
217728000,14336,0,0,0,0,0,0,0,0,0,0.2093
41472000,4096,0,0,0,0,0,0,0,0,0,0.1575
82944000,8192,0,0,0,0,0,0,0,0,0,0.1734
124416000,12288,0,0,0,0,0,0,0,0,0,0.2037
165888000,16384,0,0,0,0,0,0,0,0,0,0.3136
186624000,18432,0,0,0,0,0,0,0,0,0,0.2475
207360000,20480,0,0,0,0,0,0,0,0,0,0.2709
221184000,32768,0,0,0,0,0,0,0,0,0,0.6587
304128000,45056,0,0,0,0,0,0,0,0,0,1.0076
359424000,53248,0,0,0,0,0,0,0,0,0,1.1662
414720000,61440,0,0,0,0,0,0,0,0,0,1.4088
442368000,65536,0,0,0,0,0,0,0,0,0,1.5131
259200000,10240,0,0,0,0,0,0,0,0,0,0.2339
311040000,12288,0,0,0,0,0,0,0,0,0,0.2701
362880000,14336,0,0,0,0,0,0,0,0,0,0.3449
248832000,32768,0,0,0,0,0,0,0,0,0,0.6957
342144000,45056,0,0,0,0,0,0,0,0,0,1.0563
435456000,57344,0,0,0,0,0,0,0,0,0,1.485
279936000,18432,0,0,0,0,0,0,0,0,0,0.2533
311040000,20480,0,0,0,0,0,0,0,0,0,0.4845
653184000,21504,0,0,0,0,0,0,0,0,0,0.8146
839808000,27648,0,0,0,0,0,0,0,0,0,1.1849
933120000,30720,0,0,0,0,0,0,0,0,0,1.4831
