Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
373248000,242247,0,0,0,0,0,0,0,0,0,3.7514
559872000,379051,0,0,0,0,0,0,0,0,0,6.7968
746496000,492375,0,0,0,0,0,0,0,0,0,10.0992
373248000,175837,0,0,0,0,0,0,0,0,0,3.3678
559872000,276982,0,0,0,0,0,0,0,0,0,6.2073
746496000,361560,0,0,0,0,0,0,0,0,0,9.3762
165888000,22600,0,0,0,0,0,0,0,0,0,1.3267
331776000,45100,0,0,0,0,0,0,0,0,0,2.3039
497664000,70100,0,0,0,0,0,0,0,0,0,3.7116
580608000,81300,0,0,0,0,0,0,0,0,0,4.8096
663552000,92600,0,0,0,0,0,0,0,0,0,6.2115
55296000,8400,0,0,0,0,0,0,0,0,0,0.99
110592000,16700,0,0,0,0,0,0,0,0,0,1.027
221184000,34000,0,0,0,0,0,0,0,0,0,1.0824
881280000,136000,0,0,0,0,0,0,0,0,0,4.1761
1036800000,170000,0,0,0,0,0,0,0,0,0,5.9516
311040000,43367,0,0,0,0,0,0,0,0,0,2.1306
373248000,51368,0,0,0,0,0,0,0,0,0,2.5426
435456000,59718,0,0,0,0,0,0,0,0,0,2.9971
497664000,68338,0,0,0,0,0,0,0,0,0,3.4801
373248000,51992,0,0,0,0,0,0,0,0,0,1.6619
466560000,64563,0,0,0,0,0,0,0,0,0,2.3863
559872000,77604,0,0,0,0,0,0,0,0,0,2.784
653184000,89214,0,0,0,0,0,0,0,0,0,3.338
746496000,103203,0,0,0,0,0,0,0,0,0,4.2613
