Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
3.73E+08,242247,0,0,0,0,0,0,0,0,0,0.4065
5.60E+08,379051,0,0,0,0,0,0,0,0,0,0.8094
7.46E+08,492375,0,0,0,0,0,0,0,0,0,0.9863
3.73E+08,175837,0,0,0,0,0,0,0,0,0,0.309
5.60E+08,276982,0,0,0,0,0,0,0,0,0,0.5521
7.46E+08,361560,0,0,0,0,0,0,0,0,0,0.9951
1.66E+08,22600,0,0,0,0,0,0,0,0,0,0.2185
3.32E+08,45100,0,0,0,0,0,0,0,0,0,0.4061
4.98E+08,70100,0,0,0,0,0,0,0,0,0,0.6836
5.81E+08,81300,0,0,0,0,0,0,0,0,0,0.7181
6.64E+08,92600,0,0,0,0,0,0,0,0,0,0.779
5.53E+07,8400,0,0,0,0,0,0,0,0,0,0.1434
1.11E+08,16700,0,0,0,0,0,0,0,0,0,0.2136
2.21E+08,34000,0,0,0,0,0,0,0,0,0,0.2913
8.81E+08,136000,0,0,0,0,0,0,0,0,0,0.669
1.04E+09,170000,0,0,0,0,0,0,0,0,0,0.9175
3.11E+08,43367,0,0,0,0,0,0,0,0,0,0.3219
3.73E+08,51368,0,0,0,0,0,0,0,0,0,0.3823
4.35E+08,59718,0,0,0,0,0,0,0,0,0,0.5274
4.98E+08,68338,0,0,0,0,0,0,0,0,0,0.7128
3.73E+08,51992,0,0,0,0,0,0,0,0,0,0.377
4.67E+08,64563,0,0,0,0,0,0,0,0,0,0.5831
5.60E+08,77604,0,0,0,0,0,0,0,0,0,0.7363
6.53E+08,89214,0,0,0,0,0,0,0,0,0,0.9752
7.46E+08,103203,0,0,0,0,0,0,0,0,0,0.994
