Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,0.8487
373248000,12288,0,0,0,0,0,0,0,0,0,1.8283
559872000,18432,0,0,0,0,0,0,0,0,0,2.2757
746496000,24576,0,0,0,0,0,0,0,0,0,5.6633
559872000,36864,0,0,0,0,0,0,0,0,0,4.9481
497664000,8192,0,0,0,0,0,0,0,0,0,1.3422
622080000,10240,0,0,0,0,0,0,0,0,0,1.7362
870912000,14336,0,0,0,0,0,0,0,0,0,3.4857
1057536000,17408,0,0,0,0,0,0,0,0,0,5.1885
165888000,12288,0,0,0,0,0,0,0,0,0,1.8564
221184000,16384,0,0,0,0,0,0,0,0,0,2.7445
276480000,20480,0,0,0,0,0,0,0,0,0,3.853
304128000,22528,0,0,0,0,0,0,0,0,0,4.9815
110592000,24576,0,0,0,0,0,0,0,0,0,1.222
221184000,49152,0,0,0,0,0,0,0,0,0,2.8046
294912000,65536,0,0,0,0,0,0,0,0,0,4.0774
311040000,12288,0,0,0,0,0,0,0,0,0,1.6133
414720000,16384,0,0,0,0,0,0,0,0,0,2.3512
435456000,28672,0,0,0,0,0,0,0,0,0,2.6737
497664000,32768,0,0,0,0,0,0,0,0,0,3.4276
528768000,34816,0,0,0,0,0,0,0,0,0,3.7689
41472000,4096,0,0,0,0,0,0,0,0,0,0.5943
82944000,8192,0,0,0,0,0,0,0,0,0,0.8314
124416000,12288,0,0,0,0,0,0,0,0,0,1.0217
165888000,16384,0,0,0,0,0,0,0,0,0,1.2354
186624000,18432,0,0,0,0,0,0,0,0,0,1.4096
207360000,20480,0,0,0,0,0,0,0,0,0,1.6173
110592000,16384,0,0,0,0,0,0,0,0,0,1.6961
165888000,24576,0,0,0,0,0,0,0,0,0,2.8046
221184000,32768,0,0,0,0,0,0,0,0,0,4.1441
248832000,36864,0,0,0,0,0,0,0,0,0,4.9415
518400000,20480,0,0,0,0,0,0,0,0,0,3.3121
622080000,24576,0,0,0,0,0,0,0,0,0,4.3271
673920000,26624,0,0,0,0,0,0,0,0,0,5.077
186624000,24576,0,0,0,0,0,0,0,0,0,1.5011
311040000,40960,0,0,0,0,0,0,0,0,0,2.7125
590976000,38912,0,0,0,0,0,0,0,0,0,4.5541
622080000,40960,0,0,0,0,0,0,0,0,0,5.0683
559872000,18432,0,0,0,0,0,0,0,0,0,2.9074
622080000,20480,0,0,0,0,0,0,0,0,0,3.6326
684288000,22528,0,0,0,0,0,0,0,0,0,4.4526
373248000,49152,0,0,0,0,0,0,0,0,0,3.4323
466560000,61440,0,0,0,0,0,0,0,0,0,4.9014
