Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,0,0.7485
737280000,5120,0,0,0,0,0,0,0,0,0,0.4859
442368000,3072,0,0,0,0,0,0,0,0,0,0.2238
684288000,45056,0,0,0,0,0,0,0,0,0,0.7794
497664000,32768,0,0,0,0,0,0,0,0,0,0.4728
311040000,20480,0,0,0,0,0,0,0,0,0,0.2505
497664000,65536,0,0,0,0,0,0,0,0,0,0.7984
373248000,49152,0,0,0,0,0,0,0,0,0,0.5454
248832000,32768,0,0,0,0,0,0,0,0,0,0.3212
393984000,77824,0,0,0,0,0,0,0,0,0,0.7781
290304000,57344,0,0,0,0,0,0,0,0,0,0.5236
186624000,36864,0,0,0,0,0,0,0,0,0,0.2911
933120000,30720,0,0,0,0,0,0,0,0,0,0.763
684288000,22528,0,0,0,0,0,0,0,0,0,0.5298
435456000,14336,0,0,0,0,0,0,0,0,0,0.281
715392000,47104,0,0,0,0,0,0,0,0,0,0.7655
528768000,34816,0,0,0,0,0,0,0,0,0,0.5665
342144000,22528,0,0,0,0,0,0,0,0,0,0.3286
580608000,57344,0,0,0,0,0,0,0,0,0,0.7748
435456000,43008,0,0,0,0,0,0,0,0,0,0.5743
290304000,28672,0,0,0,0,0,0,0,0,0,0.3555
1181952000,19456,0,0,0,0,0,0,0,0,0,0.8079
870912000,14336,0,0,0,0,0,0,0,0,0,0.5327
559872000,9216,0,0,0,0,0,0,0,0,0,0.2818
933120000,30720,0,0,0,0,0,0,0,0,0,0.7437
684288000,22528,0,0,0,0,0,0,0,0,0,0.5475
466560000,15360,0,0,0,0,0,0,0,0,0,0.3843
725760000,35840,0,0,0,0,0,0,0,0,0,0.7758
539136000,26624,0,0,0,0,0,0,0,0,0,0.5462
352512000,17408,0,0,0,0,0,0,0,0,0,0.3212
691200000,51200,0,0,0,0,0,0,0,0,0,0.7917
497664000,36864,0,0,0,0,0,0,0,0,0,0.489
331776000,24576,0,0,0,0,0,0,0,0,0,0.2927
470016000,69632,0,0,0,0,0,0,0,0,0,0.8095
345600000,51200,0,0,0,0,0,0,0,0,0,0.5147
235008000,34816,0,0,0,0,0,0,0,0,0,0.3116
368640000,81920,0,0,0,0,0,0,0,0,0,0.7867
276480000,61440,0,0,0,0,0,0,0,0,0,0.4997
184320000,40960,0,0,0,0,0,0,0,0,0,0.305
884736000,32768,0,0,0,0,0,0,0,0,0,0.7826
663552000,24576,0,0,0,0,0,0,0,0,0,0.4867
442368000,16384,0,0,0,0,0,0,0,0,0,0.2673
608256000,45056,0,0,0,0,0,0,0,0,0,0.8008
456192000,33792,0,0,0,0,0,0,0,0,0,0.4555
304128000,22528,0,0,0,0,0,0,0,0,0,0.2648
470016000,52224,0,0,0,0,0,0,0,0,0,0.7984
340992000,37888,0,0,0,0,0,0,0,0,0,0.4545
230400000,25600,0,0,0,0,0,0,0,0,0,0.2423
479232000,53248,0,0,0,0,0,0,0,0,0,0.7998
359424000,39936,0,0,0,0,0,0,0,0,0,0.4313
239616000,26624,0,0,0,0,0,0,0,0,0,0.2404
