Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-0.93379,3.9728
737280000,5120,0,0,0,0,0,0,0,0,-0.93379,2.5709
442368000,3072,0,0,0,0,0,0,0,0,-0.93379,1.169
684288000,45056,0,0,0,0,0,0,0,0,-0.93379,3.3777
497664000,32768,0,0,0,0,0,0,0,0,-0.93379,2.2018
311040000,20480,0,0,0,0,0,0,0,0,-0.93379,1.026
497664000,65536,0,0,0,0,0,0,0,0,-0.93379,3.0626
373248000,49152,0,0,0,0,0,0,0,0,-0.93379,2.0635
248832000,32768,0,0,0,0,0,0,0,0,-0.93379,1.0644
393984000,77824,0,0,0,0,0,0,0,0,-0.93379,2.9114
290304000,57344,0,0,0,0,0,0,0,0,-0.93379,1.8995
186624000,36864,0,0,0,0,0,0,0,0,-0.93379,0.8876
933120000,30720,0,0,0,0,0,0,0,0,-0.93379,4.1386
684288000,22528,0,0,0,0,0,0,0,0,-0.93379,2.7859
435456000,14336,0,0,0,0,0,0,0,0,-0.93379,1.4333
715392000,47104,0,0,0,0,0,0,0,0,-0.93379,3.5737
528768000,34816,0,0,0,0,0,0,0,0,-0.93379,2.3978
342144000,22528,0,0,0,0,0,0,0,0,-0.93379,1.2219
580608000,57344,0,0,0,0,0,0,0,0,-0.93379,3.2265
435456000,43008,0,0,0,0,0,0,0,0,-0.93379,2.1865
290304000,28672,0,0,0,0,0,0,0,0,-0.93379,1.1464
1181952000,19456,0,0,0,0,0,0,0,0,-0.93379,4.9801
870912000,14336,0,0,0,0,0,0,0,0,-0.93379,3.4238
559872000,9216,0,0,0,0,0,0,0,0,-0.93379,1.8675
933120000,30720,0,0,0,0,0,0,0,0,-0.93379,4.1386
684288000,22528,0,0,0,0,0,0,0,0,-0.93379,2.7859
466560000,15360,0,0,0,0,0,0,0,0,-0.93379,1.6024
725760000,35840,0,0,0,0,0,0,0,0,-0.93379,3.3252
539136000,26624,0,0,0,0,0,0,0,0,-0.93379,2.23
352512000,17408,0,0,0,0,0,0,0,0,-0.93379,1.1349
691200000,51200,0,0,0,0,0,0,0,0,-0.93379,3.5707
497664000,36864,0,0,0,0,0,0,0,0,-0.93379,2.3094
331776000,24576,0,0,0,0,0,0,0,0,-0.93379,1.2284
470016000,69632,0,0,0,0,0,0,0,0,-0.93379,3.0438
345600000,51200,0,0,0,0,0,0,0,0,-0.93379,1.9909
235008000,34816,0,0,0,0,0,0,0,0,-0.93379,1.055
368640000,81920,0,0,0,0,0,0,0,0,-0.93379,2.9032
276480000,61440,0,0,0,0,0,0,0,0,-0.93379,1.9439
184320000,40960,0,0,0,0,0,0,0,0,-0.93379,0.9847
884736000,32768,0,0,0,0,0,0,0,0,-0.93379,3.9712
663552000,24576,0,0,0,0,0,0,0,0,-0.93379,2.7449
442368000,16384,0,0,0,0,0,0,0,0,-0.93379,1.5187
608256000,45056,0,0,0,0,0,0,0,0,-0.93379,3.0301
456192000,33792,0,0,0,0,0,0,0,0,-0.93379,2.0392
304128000,22528,0,0,0,0,0,0,0,0,-0.93379,1.0482
470016000,52224,0,0,0,0,0,0,0,0,-0.93379,2.5865
340992000,37888,0,0,0,0,0,0,0,0,-0.93379,1.6202
230400000,25600,0,0,0,0,0,0,0,0,-0.93379,0.7918
479232000,53248,0,0,0,0,0,0,0,0,-0.93379,2.6555
359424000,39936,0,0,0,0,0,0,0,0,-0.93379,1.7582
239616000,26624,0,0,0,0,0,0,0,0,-0.93379,0.8609
