Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-0.150517696,0.7125
737280000,5120,0,0,0,0,0,0,0,0,-0.150517696,0.4659
442368000,3072,0,0,0,0,0,0,0,0,-0.150517696,0.2193
684288000,45056,0,0,0,0,0,0,0,0,-0.150517696,0.7904
497664000,32768,0,0,0,0,0,0,0,0,-0.150517696,0.5338
311040000,20480,0,0,0,0,0,0,0,0,-0.150517696,0.2772
497664000,65536,0,0,0,0,0,0,0,0,-0.150517696,0.8337
373248000,49152,0,0,0,0,0,0,0,0,-0.150517696,0.5876
248832000,32768,0,0,0,0,0,0,0,0,-0.150517696,0.3416
393984000,77824,0,0,0,0,0,0,0,0,-0.150517696,0.866
290304000,57344,0,0,0,0,0,0,0,0,-0.150517696,0.5985
186624000,36864,0,0,0,0,0,0,0,0,-0.150517696,0.331
933120000,30720,0,0,0,0,0,0,0,0,-0.150517696,0.8515
684288000,22528,0,0,0,0,0,0,0,0,-0.150517696,0.5843
435456000,14336,0,0,0,0,0,0,0,0,-0.150517696,0.3171
715392000,47104,0,0,0,0,0,0,0,0,-0.150517696,0.8332
528768000,34816,0,0,0,0,0,0,0,0,-0.150517696,0.5766
342144000,22528,0,0,0,0,0,0,0,0,-0.150517696,0.32
580608000,57344,0,0,0,0,0,0,0,0,-0.150517696,0.8228
435456000,43008,0,0,0,0,0,0,0,0,-0.150517696,0.5795
290304000,28672,0,0,0,0,0,0,0,0,-0.150517696,0.3361
1181952000,19456,0,0,0,0,0,0,0,0,-0.150517696,0.9406
870912000,14336,0,0,0,0,0,0,0,0,-0.150517696,0.6535
559872000,9216,0,0,0,0,0,0,0,0,-0.150517696,0.3663
933120000,30720,0,0,0,0,0,0,0,0,-0.150517696,0.8515
684288000,22528,0,0,0,0,0,0,0,0,-0.150517696,0.5843
466560000,15360,0,0,0,0,0,0,0,0,-0.150517696,0.3505
725760000,35840,0,0,0,0,0,0,0,0,-0.150517696,0.7381
539136000,26624,0,0,0,0,0,0,0,0,-0.150517696,0.5096
352512000,17408,0,0,0,0,0,0,0,0,-0.150517696,0.2811
691200000,51200,0,0,0,0,0,0,0,0,-0.150517696,0.852
497664000,36864,0,0,0,0,0,0,0,0,-0.150517696,0.5713
331776000,24576,0,0,0,0,0,0,0,0,-0.150517696,0.3307
470016000,69632,0,0,0,0,0,0,0,0,-0.150517696,0.8498
345600000,51200,0,0,0,0,0,0,0,0,-0.150517696,0.585
235008000,34816,0,0,0,0,0,0,0,0,-0.150517696,0.3496
368640000,81920,0,0,0,0,0,0,0,0,-0.150517696,0.8839
276480000,61440,0,0,0,0,0,0,0,0,-0.150517696,0.6253
184320000,40960,0,0,0,0,0,0,0,0,-0.150517696,0.3667
884736000,32768,0,0,0,0,0,0,0,0,-0.150517696,0.8328
663552000,24576,0,0,0,0,0,0,0,0,-0.150517696,0.587
442368000,16384,0,0,0,0,0,0,0,0,-0.150517696,0.3412
608256000,45056,0,0,0,0,0,0,0,0,-0.150517696,0.7317
456192000,33792,0,0,0,0,0,0,0,0,-0.150517696,0.5111
304128000,22528,0,0,0,0,0,0,0,0,-0.150517696,0.2906
470016000,52224,0,0,0,0,0,0,0,0,-0.150517696,0.6905
340992000,37888,0,0,0,0,0,0,0,0,-0.150517696,0.4596
230400000,25600,0,0,0,0,0,0,0,0,-0.150517696,0.2617
479232000,53248,0,0,0,0,0,0,0,0,-0.150517696,0.707
359424000,39936,0,0,0,0,0,0,0,0,-0.150517696,0.4926
239616000,26624,0,0,0,0,0,0,0,0,-0.150517696,0.2782
