Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-0.13873608,0.5902
737280000,5120,0,0,0,0,0,0,0,0,-0.13873608,0.382
442368000,3072,0,0,0,0,0,0,0,0,-0.13873608,0.1737
684288000,45056,0,0,0,0,0,0,0,0,-0.13873608,0.5018
497664000,32768,0,0,0,0,0,0,0,0,-0.13873608,0.3271
311040000,20480,0,0,0,0,0,0,0,0,-0.13873608,0.1524
497664000,65536,0,0,0,0,0,0,0,0,-0.13873608,0.455
373248000,49152,0,0,0,0,0,0,0,0,-0.13873608,0.3066
248832000,32768,0,0,0,0,0,0,0,0,-0.13873608,0.1581
393984000,77824,0,0,0,0,0,0,0,0,-0.13873608,0.4326
290304000,57344,0,0,0,0,0,0,0,0,-0.13873608,0.2822
186624000,36864,0,0,0,0,0,0,0,0,-0.13873608,0.1319
933120000,30720,0,0,0,0,0,0,0,0,-0.13873608,0.6149
684288000,22528,0,0,0,0,0,0,0,0,-0.13873608,0.4139
435456000,14336,0,0,0,0,0,0,0,0,-0.13873608,0.213
715392000,47104,0,0,0,0,0,0,0,0,-0.13873608,0.531
528768000,34816,0,0,0,0,0,0,0,0,-0.13873608,0.3562
342144000,22528,0,0,0,0,0,0,0,0,-0.13873608,0.1815
580608000,57344,0,0,0,0,0,0,0,0,-0.13873608,0.4794
435456000,43008,0,0,0,0,0,0,0,0,-0.13873608,0.3248
290304000,28672,0,0,0,0,0,0,0,0,-0.13873608,0.1703
1181952000,19456,0,0,0,0,0,0,0,0,-0.13873608,0.7399
870912000,14336,0,0,0,0,0,0,0,0,-0.13873608,0.5087
559872000,9216,0,0,0,0,0,0,0,0,-0.13873608,0.2775
933120000,30720,0,0,0,0,0,0,0,0,-0.13873608,0.6149
684288000,22528,0,0,0,0,0,0,0,0,-0.13873608,0.4139
466560000,15360,0,0,0,0,0,0,0,0,-0.13873608,0.2381
725760000,35840,0,0,0,0,0,0,0,0,-0.13873608,0.494
539136000,26624,0,0,0,0,0,0,0,0,-0.13873608,0.3313
352512000,17408,0,0,0,0,0,0,0,0,-0.13873608,0.1686
691200000,51200,0,0,0,0,0,0,0,0,-0.13873608,0.5305
497664000,36864,0,0,0,0,0,0,0,0,-0.13873608,0.3431
331776000,24576,0,0,0,0,0,0,0,0,-0.13873608,0.1825
470016000,69632,0,0,0,0,0,0,0,0,-0.13873608,0.4522
345600000,51200,0,0,0,0,0,0,0,0,-0.13873608,0.2958
235008000,34816,0,0,0,0,0,0,0,0,-0.13873608,0.1567
368640000,81920,0,0,0,0,0,0,0,0,-0.13873608,0.4313
276480000,61440,0,0,0,0,0,0,0,0,-0.13873608,0.2888
184320000,40960,0,0,0,0,0,0,0,0,-0.13873608,0.1463
884736000,32768,0,0,0,0,0,0,0,0,-0.13873608,0.59
663552000,24576,0,0,0,0,0,0,0,0,-0.13873608,0.4078
442368000,16384,0,0,0,0,0,0,0,0,-0.13873608,0.2256
608256000,45056,0,0,0,0,0,0,0,0,-0.13873608,0.4502
456192000,33792,0,0,0,0,0,0,0,0,-0.13873608,0.303
304128000,22528,0,0,0,0,0,0,0,0,-0.13873608,0.1557
470016000,52224,0,0,0,0,0,0,0,0,-0.13873608,0.3843
340992000,37888,0,0,0,0,0,0,0,0,-0.13873608,0.2407
230400000,25600,0,0,0,0,0,0,0,0,-0.13873608,0.1176
479232000,53248,0,0,0,0,0,0,0,0,-0.13873608,0.3945
359424000,39936,0,0,0,0,0,0,0,0,-0.13873608,0.2612
239616000,26624,0,0,0,0,0,0,0,0,-0.13873608,0.1279
