Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-1.9863,8.4507
737280000,5120,0,0,0,0,0,0,0,0,-1.9863,5.4687
442368000,3072,0,0,0,0,0,0,0,0,-1.9863,2.4867
684288000,45056,0,0,0,0,0,0,0,0,-1.9863,7.1848
497664000,32768,0,0,0,0,0,0,0,0,-1.9863,4.6836
311040000,20480,0,0,0,0,0,0,0,0,-1.9863,2.1824
497664000,65536,0,0,0,0,0,0,0,0,-1.9863,6.5145
373248000,49152,0,0,0,0,0,0,0,0,-1.9863,4.3893
248832000,32768,0,0,0,0,0,0,0,0,-1.9863,2.2641
393984000,77824,0,0,0,0,0,0,0,0,-1.9863,6.193
290304000,57344,0,0,0,0,0,0,0,0,-1.9863,4.0405
186624000,36864,0,0,0,0,0,0,0,0,-1.9863,1.8881
933120000,30720,0,0,0,0,0,0,0,0,-1.9863,8.8033
684288000,22528,0,0,0,0,0,0,0,0,-1.9863,5.9261
435456000,14336,0,0,0,0,0,0,0,0,-1.9863,3.0488
715392000,47104,0,0,0,0,0,0,0,0,-1.9863,7.6017
528768000,34816,0,0,0,0,0,0,0,0,-1.9863,5.1005
342144000,22528,0,0,0,0,0,0,0,0,-1.9863,2.5993
580608000,57344,0,0,0,0,0,0,0,0,-1.9863,6.8633
435456000,43008,0,0,0,0,0,0,0,0,-1.9863,4.6509
290304000,28672,0,0,0,0,0,0,0,0,-1.9863,2.4385
1181952000,19456,0,0,0,0,0,0,0,0,-1.9863,10.5934
870912000,14336,0,0,0,0,0,0,0,0,-1.9863,7.283
559872000,9216,0,0,0,0,0,0,0,0,-1.9863,3.9725
933120000,30720,0,0,0,0,0,0,0,0,-1.9863,8.8033
684288000,22528,0,0,0,0,0,0,0,0,-1.9863,5.9261
466560000,15360,0,0,0,0,0,0,0,0,-1.9863,3.4085
725760000,35840,0,0,0,0,0,0,0,0,-1.9863,7.0731
539136000,26624,0,0,0,0,0,0,0,0,-1.9863,4.7436
352512000,17408,0,0,0,0,0,0,0,0,-1.9863,2.414
691200000,51200,0,0,0,0,0,0,0,0,-1.9863,7.5953
497664000,36864,0,0,0,0,0,0,0,0,-1.9863,4.9125
331776000,24576,0,0,0,0,0,0,0,0,-1.9863,2.6129
470016000,69632,0,0,0,0,0,0,0,0,-1.9863,6.4745
345600000,51200,0,0,0,0,0,0,0,0,-1.9863,4.2349
235008000,34816,0,0,0,0,0,0,0,0,-1.9863,2.2441
368640000,81920,0,0,0,0,0,0,0,0,-1.9863,6.1754
276480000,61440,0,0,0,0,0,0,0,0,-1.9863,4.135
184320000,40960,0,0,0,0,0,0,0,0,-1.9863,2.0946
884736000,32768,0,0,0,0,0,0,0,0,-1.9863,8.4473
663552000,24576,0,0,0,0,0,0,0,0,-1.9863,5.8389
442368000,16384,0,0,0,0,0,0,0,0,-1.9863,3.2305
608256000,45056,0,0,0,0,0,0,0,0,-1.9863,6.4455
456192000,33792,0,0,0,0,0,0,0,0,-1.9863,4.3376
304128000,22528,0,0,0,0,0,0,0,0,-1.9863,2.2296
470016000,52224,0,0,0,0,0,0,0,0,-1.9863,5.5019
340992000,37888,0,0,0,0,0,0,0,0,-1.9863,3.4463
230400000,25600,0,0,0,0,0,0,0,0,-1.9863,1.6844
479232000,53248,0,0,0,0,0,0,0,0,-1.9863,5.6487
359424000,39936,0,0,0,0,0,0,0,0,-1.9863,3.74
239616000,26624,0,0,0,0,0,0,0,0,-1.9863,1.8312
