Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
516096000,28672,0,0,0,0,0,0,0,0,0,0.6623
368640000,20480,0,0,0,0,0,0,0,0,0,0.4055
221184000,12288,0,0,0,0,0,0,0,0,0,0.2003
491520000,40960,0,0,0,0,0,0,0,0,0,0.7303
344064000,28672,0,0,0,0,0,0,0,0,0,0.4198
245760000,20480,0,0,0,0,0,0,0,0,0,0.2484
516096000,14336,0,0,0,0,0,0,0,0,0,0.6955
368640000,10240,0,0,0,0,0,0,0,0,0,0.407
221184000,6144,0,0,0,0,0,0,0,0,0,0.1993
540672000,22528,0,0,0,0,0,0,0,0,0,0.7609
393216000,16384,0,0,0,0,0,0,0,0,0,0.4801
245760000,10240,0,0,0,0,0,0,0,0,0,0.2263
589824000,8192,0,0,0,0,0,0,0,0,0,0.7374
442368000,6144,0,0,0,0,0,0,0,0,0,0.4302
294912000,4096,0,0,0,0,0,0,0,0,0,0.2476
589824000,12288,0,0,0,0,0,0,0,0,0,0.7746
442368000,9216,0,0,0,0,0,0,0,0,0,0.5201
294912000,6144,0,0,0,0,0,0,0,0,0,0.2687
746496000,49152,0,0,0,0,0,0,0,0,0,0.6895
559872000,36864,0,0,0,0,0,0,0,0,0,0.4273
373248000,24576,0,0,0,0,0,0,0,0,0,0.2275
653184000,86016,0,0,0,0,0,0,0,0,0,0.7606
466560000,61440,0,0,0,0,0,0,0,0,0,0.5166
311040000,40960,0,0,0,0,0,0,0,0,0,0.2759
580608000,114688,0,0,0,0,0,0,0,0,0,0.786
435456000,86016,0,0,0,0,0,0,0,0,0,0.5579
290304000,57344,0,0,0,0,0,0,0,0,0,0.3221
870912000,28672,0,0,0,0,0,0,0,0,0,0.7728
622080000,20480,0,0,0,0,0,0,0,0,0,0.4369
435456000,14336,0,0,0,0,0,0,0,0,0,0.2625
746496000,49152,0,0,0,0,0,0,0,0,0,0.7755
559872000,36864,0,0,0,0,0,0,0,0,0,0.5314
373248000,24576,0,0,0,0,0,0,0,0,0,0.3006
663552000,65536,0,0,0,0,0,0,0,0,0,0.7991
497664000,49152,0,0,0,0,0,0,0,0,0,0.5542
331776000,32768,0,0,0,0,0,0,0,0,0,0.3143
933120000,15360,0,0,0,0,0,0,0,0,0,0.7696
684288000,11264,0,0,0,0,0,0,0,0,0,0.4716
435456000,7168,0,0,0,0,0,0,0,0,0,0.2295
839808000,27648,0,0,0,0,0,0,0,0,0,0.7715
622080000,20480,0,0,0,0,0,0,0,0,0,0.5098
404352000,13312,0,0,0,0,0,0,0,0,0,0.2801
746496000,36864,0,0,0,0,0,0,0,0,0,0.7485
559872000,27648,0,0,0,0,0,0,0,0,0,0.5217
373248000,18432,0,0,0,0,0,0,0,0,0,0.3343
589824000,65536,0,0,0,0,0,0,0,0,0,0.6225
442368000,49152,0,0,0,0,0,0,0,0,0,0.3817
294912000,32768,0,0,0,0,0,0,0,0,0,0.2125
294912000,65536,0,0,0,0,0,0,0,0,0,0.3505
221184000,49152,0,0,0,0,0,0,0,0,0,0.2441
147456000,32768,0,0,0,0,0,0,0,0,0,0.1504
