Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-0.94455,4.4711
737280000,5120,0,0,0,0,0,0,0,0,-0.94455,2.9238
442368000,3072,0,0,0,0,0,0,0,0,-0.94455,1.3765
684288000,45056,0,0,0,0,0,0,0,0,-0.94455,4.9603
497664000,32768,0,0,0,0,0,0,0,0,-0.94455,3.3499
311040000,20480,0,0,0,0,0,0,0,0,-0.94455,1.7395
497664000,65536,0,0,0,0,0,0,0,0,-0.94455,5.2317
373248000,49152,0,0,0,0,0,0,0,0,-0.94455,3.6876
248832000,32768,0,0,0,0,0,0,0,0,-0.94455,2.1436
393984000,77824,0,0,0,0,0,0,0,0,-0.94455,5.4347
290304000,57344,0,0,0,0,0,0,0,0,-0.94455,3.756
186624000,36864,0,0,0,0,0,0,0,0,-0.94455,2.0772
933120000,30720,0,0,0,0,0,0,0,0,-0.94455,5.3434
684288000,22528,0,0,0,0,0,0,0,0,-0.94455,3.6666
435456000,14336,0,0,0,0,0,0,0,0,-0.94455,1.9898
715392000,47104,0,0,0,0,0,0,0,0,-0.94455,5.2287
528768000,34816,0,0,0,0,0,0,0,0,-0.94455,3.6183
342144000,22528,0,0,0,0,0,0,0,0,-0.94455,2.0079
580608000,57344,0,0,0,0,0,0,0,0,-0.94455,5.1633
435456000,43008,0,0,0,0,0,0,0,0,-0.94455,3.6364
290304000,28672,0,0,0,0,0,0,0,0,-0.94455,2.1094
1181952000,19456,0,0,0,0,0,0,0,0,-0.94455,5.9028
870912000,14336,0,0,0,0,0,0,0,0,-0.94455,4.1009
559872000,9216,0,0,0,0,0,0,0,0,-0.94455,2.2989
933120000,30720,0,0,0,0,0,0,0,0,-0.94455,5.3434
684288000,22528,0,0,0,0,0,0,0,0,-0.94455,3.6666
466560000,15360,0,0,0,0,0,0,0,0,-0.94455,2.1994
725760000,35840,0,0,0,0,0,0,0,0,-0.94455,4.6321
539136000,26624,0,0,0,0,0,0,0,0,-0.94455,3.1981
352512000,17408,0,0,0,0,0,0,0,0,-0.94455,1.7641
691200000,51200,0,0,0,0,0,0,0,0,-0.94455,5.3467
497664000,36864,0,0,0,0,0,0,0,0,-0.94455,3.5851
331776000,24576,0,0,0,0,0,0,0,0,-0.94455,2.0752
470016000,69632,0,0,0,0,0,0,0,0,-0.94455,5.3329
345600000,51200,0,0,0,0,0,0,0,0,-0.94455,3.6712
235008000,34816,0,0,0,0,0,0,0,0,-0.94455,2.1942
368640000,81920,0,0,0,0,0,0,0,0,-0.94455,5.5471
276480000,61440,0,0,0,0,0,0,0,0,-0.94455,3.9242
184320000,40960,0,0,0,0,0,0,0,0,-0.94455,2.3013
884736000,32768,0,0,0,0,0,0,0,0,-0.94455,5.2264
663552000,24576,0,0,0,0,0,0,0,0,-0.94455,3.6837
442368000,16384,0,0,0,0,0,0,0,0,-0.94455,2.1409
608256000,45056,0,0,0,0,0,0,0,0,-0.94455,4.5917
456192000,33792,0,0,0,0,0,0,0,0,-0.94455,3.2076
304128000,22528,0,0,0,0,0,0,0,0,-0.94455,1.8236
470016000,52224,0,0,0,0,0,0,0,0,-0.94455,4.3332
340992000,37888,0,0,0,0,0,0,0,0,-0.94455,2.8844
230400000,25600,0,0,0,0,0,0,0,0,-0.94455,1.6426
479232000,53248,0,0,0,0,0,0,0,0,-0.94455,4.4367
359424000,39936,0,0,0,0,0,0,0,0,-0.94455,3.0914
239616000,26624,0,0,0,0,0,0,0,0,-0.94455,1.7461
