Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,1.8849
373248000,12288,0,0,0,0,0,0,0,0,0,3.9687
559872000,18432,0,0,0,0,0,0,0,0,0,7.0908
746496000,24576,0,0,0,0,0,0,0,0,0,11.166
559872000,36864,0,0,0,0,0,0,0,0,0,10.2995
684288000,11264,0,0,0,0,0,0,0,0,0,7.0169
870912000,14336,0,0,0,0,0,0,0,0,0,7.372
1057536000,17408,0,0,0,0,0,0,0,0,0,11.1276
497664000,36864,0,0,0,0,0,0,0,0,0,6.4047
580608000,43008,0,0,0,0,0,0,0,0,0,7.6277
663552000,49152,0,0,0,0,0,0,0,0,0,9.1192
718848000,53248,0,0,0,0,0,0,0,0,0,9.6774
801792000,59392,0,0,0,0,0,0,0,0,0,11.3691
294912000,65536,0,0,0,0,0,0,0,0,0,5.5922
51840000,2048,0,0,0,0,0,0,0,0,0,0.9091
103680000,4096,0,0,0,0,0,0,0,0,0,1.179
155520000,6144,0,0,0,0,0,0,0,0,0,1.3636
207360000,8192,0,0,0,0,0,0,0,0,0,1.4346
124416000,8192,0,0,0,0,0,0,0,0,0,1.4062
186624000,12288,0,0,0,0,0,0,0,0,0,1.6221
217728000,14336,0,0,0,0,0,0,0,0,0,1.5255
41472000,4096,0,0,0,0,0,0,0,0,0,1.1477
82944000,8192,0,0,0,0,0,0,0,0,0,1.2642
124416000,12288,0,0,0,0,0,0,0,0,0,1.4843
165888000,16384,0,0,0,0,0,0,0,0,0,2.2855
186624000,18432,0,0,0,0,0,0,0,0,0,1.8039
207360000,20480,0,0,0,0,0,0,0,0,0,1.9744
221184000,32768,0,0,0,0,0,0,0,0,0,4.801
304128000,45056,0,0,0,0,0,0,0,0,0,7.3436
359424000,53248,0,0,0,0,0,0,0,0,0,8.4998
414720000,61440,0,0,0,0,0,0,0,0,0,10.2683
442368000,65536,0,0,0,0,0,0,0,0,0,11.0282
259200000,10240,0,0,0,0,0,0,0,0,0,1.7045
311040000,12288,0,0,0,0,0,0,0,0,0,1.9687
362880000,14336,0,0,0,0,0,0,0,0,0,2.5142
248832000,32768,0,0,0,0,0,0,0,0,0,5.0709
342144000,45056,0,0,0,0,0,0,0,0,0,7.6987
435456000,57344,0,0,0,0,0,0,0,0,0,10.8237
279936000,18432,0,0,0,0,0,0,0,0,0,1.8466
311040000,20480,0,0,0,0,0,0,0,0,0,3.5312
653184000,21504,0,0,0,0,0,0,0,0,0,5.9374
839808000,27648,0,0,0,0,0,0,0,0,0,8.6362
933120000,30720,0,0,0,0,0,0,0,0,0,10.8095
