Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
373248000,242247,0,0,0,0,0,0,0,0,0,0.2624
559872000,379051,0,0,0,0,0,0,0,0,0,0.4755
746496000,492375,0,0,0,0,0,0,0,0,0,0.7065
373248000,175837,0,0,0,0,0,0,0,0,0,0.2356
559872000,276982,0,0,0,0,0,0,0,0,0,0.4343
746496000,361560,0,0,0,0,0,0,0,0,0,0.656
165888000,22600,0,0,0,0,0,0,0,0,0,0.0928
331776000,45100,0,0,0,0,0,0,0,0,0,0.1612
497664000,70100,0,0,0,0,0,0,0,0,0,0.2597
580608000,81300,0,0,0,0,0,0,0,0,0,0.3365
663552000,92600,0,0,0,0,0,0,0,0,0,0.4346
55296000,8400,0,0,0,0,0,0,0,0,0,0.0693
110592000,16700,0,0,0,0,0,0,0,0,0,0.0718
221184000,34000,0,0,0,0,0,0,0,0,0,0.0757
881280000,136000,0,0,0,0,0,0,0,0,0,0.2922
1036800000,170000,0,0,0,0,0,0,0,0,0,0.4164
311040000,43367,0,0,0,0,0,0,0,0,0,0.1491
373248000,51368,0,0,0,0,0,0,0,0,0,0.1779
435456000,59718,0,0,0,0,0,0,0,0,0,0.2097
497664000,68338,0,0,0,0,0,0,0,0,0,0.2435
373248000,51992,0,0,0,0,0,0,0,0,0,0.1163
466560000,64563,0,0,0,0,0,0,0,0,0,0.1669
559872000,77604,0,0,0,0,0,0,0,0,0,0.1948
653184000,89214,0,0,0,0,0,0,0,0,0,0.2335
746496000,103203,0,0,0,0,0,0,0,0,0,0.2981
