Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,0.2477
373248000,12288,0,0,0,0,0,0,0,0,0,0.5336
559872000,18432,0,0,0,0,0,0,0,0,0,0.6642
746496000,24576,0,0,0,0,0,0,0,0,0,1.6528
559872000,36864,0,0,0,0,0,0,0,0,0,1.4441
497664000,8192,0,0,0,0,0,0,0,0,0,0.3917
622080000,10240,0,0,0,0,0,0,0,0,0,0.5067
870912000,14336,0,0,0,0,0,0,0,0,0,1.0173
1057536000,17408,0,0,0,0,0,0,0,0,0,1.5143
165888000,12288,0,0,0,0,0,0,0,0,0,0.5418
221184000,16384,0,0,0,0,0,0,0,0,0,0.801
276480000,20480,0,0,0,0,0,0,0,0,0,1.1245
304128000,22528,0,0,0,0,0,0,0,0,0,1.4538
110592000,24576,0,0,0,0,0,0,0,0,0,0.3566
221184000,49152,0,0,0,0,0,0,0,0,0,0.8185
294912000,65536,0,0,0,0,0,0,0,0,0,1.19
311040000,12288,0,0,0,0,0,0,0,0,0,0.4708
414720000,16384,0,0,0,0,0,0,0,0,0,0.6862
435456000,28672,0,0,0,0,0,0,0,0,0,0.7803
497664000,32768,0,0,0,0,0,0,0,0,0,1.0003
528768000,34816,0,0,0,0,0,0,0,0,0,1.0999
41472000,4096,0,0,0,0,0,0,0,0,0,0.1734
82944000,8192,0,0,0,0,0,0,0,0,0,0.2426
124416000,12288,0,0,0,0,0,0,0,0,0,0.2982
165888000,16384,0,0,0,0,0,0,0,0,0,0.3605
186624000,18432,0,0,0,0,0,0,0,0,0,0.4114
207360000,20480,0,0,0,0,0,0,0,0,0,0.472
110592000,16384,0,0,0,0,0,0,0,0,0,0.495
165888000,24576,0,0,0,0,0,0,0,0,0,0.8185
221184000,32768,0,0,0,0,0,0,0,0,0,1.2095
248832000,36864,0,0,0,0,0,0,0,0,0,1.4421
518400000,20480,0,0,0,0,0,0,0,0,0,0.9666
622080000,24576,0,0,0,0,0,0,0,0,0,1.2629
673920000,26624,0,0,0,0,0,0,0,0,0,1.4817
186624000,24576,0,0,0,0,0,0,0,0,0,0.4381
311040000,40960,0,0,0,0,0,0,0,0,0,0.7916
590976000,38912,0,0,0,0,0,0,0,0,0,1.3291
622080000,40960,0,0,0,0,0,0,0,0,0,1.4792
559872000,18432,0,0,0,0,0,0,0,0,0,0.8485
622080000,20480,0,0,0,0,0,0,0,0,0,1.0602
684288000,22528,0,0,0,0,0,0,0,0,0,1.2995
373248000,49152,0,0,0,0,0,0,0,0,0,1.0017
466560000,61440,0,0,0,0,0,0,0,0,0,1.4305
