Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
373248000,242247,0,0,0,0,0,0,0,0,0,1.7636
559872000,379051,0,0,0,0,0,0,0,0,0,3.1952
746496000,492375,0,0,0,0,0,0,0,0,0,4.7478
373248000,175837,0,0,0,0,0,0,0,0,0,1.5833
559872000,276982,0,0,0,0,0,0,0,0,0,2.9181
746496000,361560,0,0,0,0,0,0,0,0,0,4.4079
165888000,22600,0,0,0,0,0,0,0,0,0,0.6237
331776000,45100,0,0,0,0,0,0,0,0,0,1.0831
497664000,70100,0,0,0,0,0,0,0,0,0,1.7449
580608000,81300,0,0,0,0,0,0,0,0,0,2.261
663552000,92600,0,0,0,0,0,0,0,0,0,2.9201
55296000,8400,0,0,0,0,0,0,0,0,0,0.4654
110592000,16700,0,0,0,0,0,0,0,0,0,0.4828
221184000,34000,0,0,0,0,0,0,0,0,0,0.5088
881280000,136000,0,0,0,0,0,0,0,0,0,1.9632
1036800000,170000,0,0,0,0,0,0,0,0,0,2.7979
311040000,43367,0,0,0,0,0,0,0,0,0,1.0016
373248000,51368,0,0,0,0,0,0,0,0,0,1.1953
435456000,59718,0,0,0,0,0,0,0,0,0,1.409
497664000,68338,0,0,0,0,0,0,0,0,0,1.636
373248000,51992,0,0,0,0,0,0,0,0,0,0.7813
466560000,64563,0,0,0,0,0,0,0,0,0,1.1218
559872000,77604,0,0,0,0,0,0,0,0,0,1.3088
653184000,89214,0,0,0,0,0,0,0,0,0,1.5692
746496000,103203,0,0,0,0,0,0,0,0,0,2.0033
