Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
373248000,242247,0,0,0,0,0,0,0,0,0,0.5147
559872000,379051,0,0,0,0,0,0,0,0,0,0.9325
746496000,492375,0,0,0,0,0,0,0,0,0,1.3856
373248000,175837,0,0,0,0,0,0,0,0,0,0.4621
559872000,276982,0,0,0,0,0,0,0,0,0,0.8516
746496000,361560,0,0,0,0,0,0,0,0,0,1.2864
165888000,22600,0,0,0,0,0,0,0,0,0,0.182
331776000,45100,0,0,0,0,0,0,0,0,0,0.3161
497664000,70100,0,0,0,0,0,0,0,0,0,0.5092
580608000,81300,0,0,0,0,0,0,0,0,0,0.6599
663552000,92600,0,0,0,0,0,0,0,0,0,0.8522
55296000,8400,0,0,0,0,0,0,0,0,0,0.1358
110592000,16700,0,0,0,0,0,0,0,0,0,0.1409
221184000,34000,0,0,0,0,0,0,0,0,0,0.1485
881280000,136000,0,0,0,0,0,0,0,0,0,0.573
1036800000,170000,0,0,0,0,0,0,0,0,0,0.8166
311040000,43367,0,0,0,0,0,0,0,0,0,0.2923
373248000,51368,0,0,0,0,0,0,0,0,0,0.3488
435456000,59718,0,0,0,0,0,0,0,0,0,0.4112
497664000,68338,0,0,0,0,0,0,0,0,0,0.4775
373248000,51992,0,0,0,0,0,0,0,0,0,0.228
466560000,64563,0,0,0,0,0,0,0,0,0,0.3274
559872000,77604,0,0,0,0,0,0,0,0,0,0.382
653184000,89214,0,0,0,0,0,0,0,0,0,0.458
746496000,103203,0,0,0,0,0,0,0,0,0,0.5847
