Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
1032192000,7168,0,0,0,0,0,0,0,0,-2.0092,9.5107
737280000,5120,0,0,0,0,0,0,0,0,-2.0092,6.2193
442368000,3072,0,0,0,0,0,0,0,0,-2.0092,2.9279
684288000,45056,0,0,0,0,0,0,0,0,-2.0092,10.5513
497664000,32768,0,0,0,0,0,0,0,0,-2.0092,7.1257
311040000,20480,0,0,0,0,0,0,0,0,-2.0092,3.7001
497664000,65536,0,0,0,0,0,0,0,0,-2.0092,11.1285
373248000,49152,0,0,0,0,0,0,0,0,-2.0092,7.8441
248832000,32768,0,0,0,0,0,0,0,0,-2.0092,4.5597
393984000,77824,0,0,0,0,0,0,0,0,-2.0092,11.5604
290304000,57344,0,0,0,0,0,0,0,0,-2.0092,7.9895
186624000,36864,0,0,0,0,0,0,0,0,-2.0092,4.4185
933120000,30720,0,0,0,0,0,0,0,0,-2.0092,11.3661
684288000,22528,0,0,0,0,0,0,0,0,-2.0092,7.7993
435456000,14336,0,0,0,0,0,0,0,0,-2.0092,4.2326
715392000,47104,0,0,0,0,0,0,0,0,-2.0092,11.1222
528768000,34816,0,0,0,0,0,0,0,0,-2.0092,7.6966
342144000,22528,0,0,0,0,0,0,0,0,-2.0092,4.271
580608000,57344,0,0,0,0,0,0,0,0,-2.0092,10.9832
435456000,43008,0,0,0,0,0,0,0,0,-2.0092,7.7351
290304000,28672,0,0,0,0,0,0,0,0,-2.0092,4.487
1181952000,19456,0,0,0,0,0,0,0,0,-2.0092,12.5561
870912000,14336,0,0,0,0,0,0,0,0,-2.0092,8.7232
559872000,9216,0,0,0,0,0,0,0,0,-2.0092,4.8902
933120000,30720,0,0,0,0,0,0,0,0,-2.0092,11.3661
684288000,22528,0,0,0,0,0,0,0,0,-2.0092,7.7993
466560000,15360,0,0,0,0,0,0,0,0,-2.0092,4.6784
725760000,35840,0,0,0,0,0,0,0,0,-2.0092,9.8532
539136000,26624,0,0,0,0,0,0,0,0,-2.0092,6.8028
352512000,17408,0,0,0,0,0,0,0,0,-2.0092,3.7525
691200000,51200,0,0,0,0,0,0,0,0,-2.0092,11.3731
497664000,36864,0,0,0,0,0,0,0,0,-2.0092,7.6261
331776000,24576,0,0,0,0,0,0,0,0,-2.0092,4.4143
470016000,69632,0,0,0,0,0,0,0,0,-2.0092,11.3438
345600000,51200,0,0,0,0,0,0,0,0,-2.0092,7.8092
235008000,34816,0,0,0,0,0,0,0,0,-2.0092,4.6673
368640000,81920,0,0,0,0,0,0,0,0,-2.0092,11.7994
276480000,61440,0,0,0,0,0,0,0,0,-2.0092,8.3473
184320000,40960,0,0,0,0,0,0,0,0,-2.0092,4.8951
884736000,32768,0,0,0,0,0,0,0,0,-2.0092,11.1173
663552000,24576,0,0,0,0,0,0,0,0,-2.0092,7.8357
442368000,16384,0,0,0,0,0,0,0,0,-2.0092,4.5541
608256000,45056,0,0,0,0,0,0,0,0,-2.0092,9.7672
456192000,33792,0,0,0,0,0,0,0,0,-2.0092,6.8231
304128000,22528,0,0,0,0,0,0,0,0,-2.0092,3.879
470016000,52224,0,0,0,0,0,0,0,0,-2.0092,9.2173
340992000,37888,0,0,0,0,0,0,0,0,-2.0092,6.1355
230400000,25600,0,0,0,0,0,0,0,0,-2.0092,3.494
479232000,53248,0,0,0,0,0,0,0,0,-2.0092,9.4374
359424000,39936,0,0,0,0,0,0,0,0,-2.0092,6.5758
239616000,26624,0,0,0,0,0,0,0,0,-2.0092,3.7141
