Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,0.1271
373248000,12288,0,0,0,0,0,0,0,0,0,0.2738
559872000,18432,0,0,0,0,0,0,0,0,0,0.3408
746496000,24576,0,0,0,0,0,0,0,0,0,0.8481
559872000,36864,0,0,0,0,0,0,0,0,0,0.741
497664000,8192,0,0,0,0,0,0,0,0,0,0.201
622080000,10240,0,0,0,0,0,0,0,0,0,0.26
870912000,14336,0,0,0,0,0,0,0,0,0,0.522
1057536000,17408,0,0,0,0,0,0,0,0,0,0.777
165888000,12288,0,0,0,0,0,0,0,0,0,0.278
221184000,16384,0,0,0,0,0,0,0,0,0,0.411
276480000,20480,0,0,0,0,0,0,0,0,0,0.577
304128000,22528,0,0,0,0,0,0,0,0,0,0.746
110592000,24576,0,0,0,0,0,0,0,0,0,0.183
221184000,49152,0,0,0,0,0,0,0,0,0,0.42
294912000,65536,0,0,0,0,0,0,0,0,0,0.6106
311040000,12288,0,0,0,0,0,0,0,0,0,0.2416
414720000,16384,0,0,0,0,0,0,0,0,0,0.3521
435456000,28672,0,0,0,0,0,0,0,0,0,0.4004
497664000,32768,0,0,0,0,0,0,0,0,0,0.5133
528768000,34816,0,0,0,0,0,0,0,0,0,0.5644
41472000,4096,0,0,0,0,0,0,0,0,0,0.089
82944000,8192,0,0,0,0,0,0,0,0,0,0.1245
124416000,12288,0,0,0,0,0,0,0,0,0,0.153
165888000,16384,0,0,0,0,0,0,0,0,0,0.185
186624000,18432,0,0,0,0,0,0,0,0,0,0.2111
207360000,20480,0,0,0,0,0,0,0,0,0,0.2422
110592000,16384,0,0,0,0,0,0,0,0,0,0.254
165888000,24576,0,0,0,0,0,0,0,0,0,0.42
221184000,32768,0,0,0,0,0,0,0,0,0,0.6206
248832000,36864,0,0,0,0,0,0,0,0,0,0.74
518400000,20480,0,0,0,0,0,0,0,0,0,0.496
622080000,24576,0,0,0,0,0,0,0,0,0,0.648
673920000,26624,0,0,0,0,0,0,0,0,0,0.7603
186624000,24576,0,0,0,0,0,0,0,0,0,0.2248
311040000,40960,0,0,0,0,0,0,0,0,0,0.4062
590976000,38912,0,0,0,0,0,0,0,0,0,0.682
622080000,40960,0,0,0,0,0,0,0,0,0,0.759
559872000,18432,0,0,0,0,0,0,0,0,0,0.4354
622080000,20480,0,0,0,0,0,0,0,0,0,0.544
684288000,22528,0,0,0,0,0,0,0,0,0,0.6668
373248000,49152,0,0,0,0,0,0,0,0,0,0.514
466560000,61440,0,0,0,0,0,0,0,0,0,0.734
