Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
0,0,0,0,0,0,0,16,0,0,0,0.229
0,0,0,0,0,0,0,32,0,0,0,0.2281
0,0,0,0,0,0,0,64,0,0,0,0.2284
9216000,4096,0,0,0,79745.5,0,0,0,0,0,0.3549
23040000,10240,0,0,0,80036.89,0,0,0,0,0,0.3956
36864000,16384,0,0,0,80110.28,0,0,0,0,0,0.4873
18432000,4096,0,0,0,116327.95,0,0,0,0,0,0.3943
46080000,10240,0,0,0,116127.24,0,0,0,0,0,0.5271
73728000,16384,0,0,0,114806.81,0,0,0,0,0,0.5812
18432000,2048,0,0,0,70648.21,0,0,0,0,0,0.3611
36864000,4096,0,0,0,70729.27,0,0,0,0,0,0.412
55296000,6144,0,0,0,70834.71,0,0,0,0,0,0.5098
73728000,8192,0,0,0,70802.49,0,0,0,0,0,0.5491
0,0,0,0,17019.7,17019.7,0,0,31104000,4096,0,0.291
0,0,0,0,17024.53,17024.53,0,0,73728000,4096,0,0.4237
0,0,0,0,17017.36,17017.36,0,0,62208000,4096,0,0.4229
0,0,0,0,17018.59,17018.59,0,0,147456000,4096,0,0.7189
0,0,0,0,0,0,0,0,31104000,4096,0,0.3248
0,0,0,0,0,0,0,0,73728000,4096,0,0.4458
0,0,0,0,0,0,0,0,73728000,4096,0,0.3351
0,0,0,0,0,0,0,0,73728000,4096,0,0.2282
0,0,0,0,0,0,0,0,62208000,4096,0,0.5243
0,0,0,0,0,0,0,0,147456000,4096,0,0.7833
0,0,0,0,0,0,0,0,147456000,4096,0,0.5714
0,0,0,0,0,0,0,0,147456000,4096,0,0.3576
0,0,0,0,65433.35,0,0,0,0,0,0,0.0759
0,0,0,0,131263.7,0,0,0,0,0,0,0.1445
0,0,0,0,261591.38,0,0,0,0,0,0,0.2433
0,0,0,0,33087.3,0,0,0,0,0,0,0.0469
0,0,0,0,65646.8,0,0,0,0,0,0,0.0901
0,0,0,0,131521.68,0,0,0,0,0,0,0.1723
0,0,0,0,16824.11,0,0,0,0,0,0,0.0308
0,0,0,0,34018.12,0,0,0,0,0,0,0.06
0,0,0,0,67353.28,0,0,0,0,0,0,0.1205
0,0,0,0,0,68026.2,0,0,0,0,0,0.0624
0,0,0,0,0,68094.9,0,0,0,0,0,0.0605
0,0,0,0,0,67926.94,0,0,0,0,0,0.0598
0,0,0,0,0,34404.29,0,0,0,0,0,0.0411
0,0,0,0,0,17788.17,0,0,0,0,0,0.036
0,0,0,0,0,17726.26,0,0,0,0,0,0.0359
0,0,0,0,0,35487.53,0,0,0,0,0,0.0636
0,0,0,0,0,70983.46,0,0,0,0,0,0.1196
0,0,0,0,0,67424.25,0,0,0,0,0,0.077
0,0,0,0,0,134977.75,0,0,0,0,0,0.1398
0,0,0,0,0,270006.53,0,0,0,0,0,0.2665
0,0,0,0,0,34396,0,0,0,0,0,0.0481
0,0,0,0,0,68855.35,0,0,0,0,0,0.0918
0,0,0,0,0,137613.23,0,0,0,0,0,0.1741
0,0,0,0,0,17136.11,0,0,0,0,0,0.0351
0,0,0,0,0,34286.92,0,0,0,0,0,0.057
0,0,0,0,0,68608.2,0,0,0,0,0,0.106
0,0,0,0,0,17298.31,0,0,0,0,0,0.0326
0,0,0,0,0,34592.72,0,0,0,0,0,0.0582
0,0,0,0,0,69155.49,0,0,0,0,0,0.1095
0,0,0,0,0,17550.03,0,0,0,0,0,0.0366
0,0,0,0,0,34941.16,0,0,0,0,0,0.0662
0,0,0,0,0,69911.15,0,0,0,0,0,0.1278
