Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
62208000,2048,0,0,0,0,0,0,0,0,0,0.2619
124416000,4096,0,0,0,0,0,0,0,0,0,0.4279
186624000,6144,0,0,0,0,0,0,0,0,0,0.6208
248832000,8192,0,0,0,0,0,0,0,0,0,0.9429
62208000,4096,0,0,0,0,0,0,0,0,0,0.3721
124416000,8192,0,0,0,0,0,0,0,0,0,0.537
186624000,12288,0,0,0,0,0,0,0,0,0,0.7978
248832000,16384,0,0,0,0,0,0,0,0,0,0.9848
0,0,0,0,0,131072,0,0,0,0,0,0.1801
62208000,2048,0,0,0,131072,0,0,0,0,0,0.3053
124416000,4096,0,0,0,131072,0,0,0,0,0,0.5028
186624000,6144,0,0,0,131072,0,0,0,0,0,0.7562
248832000,8192,0,0,0,131072,0,0,0,0,0,0.9642
0,0,0,0,131072,0,0,0,0,0,0,0.2016
62208000,2048,0,0,131072,0,0,0,0,0,0,0.4109
124416000,4096,0,0,131072,0,0,0,0,0,0,0.6744
186624000,6144,0,0,131072,0,0,0,0,0,0,0.9781
0,0,0,0,131072,131072,0,0,0,0,0,0.2417
62208000,2048,0,0,131072,131072,0,0,0,0,0,0.512
124416000,4096,0,0,131072,131072,0,0,0,0,0,0.8152
186624000,6144,0,0,131072,131072,0,0,0,0,0,0.9968
0,0,0,0,65536,262144,0,0,0,0,0,0.2938
0,0,0,0,131072,262144,0,0,0,0,0,0.3073
0,0,0,0,262144,262144,0,0,0,0,0,0.3641
0,0,0,0,524288,262144,0,0,0,0,0,0.393
0,0,0,0,65536,262144,0,0,0,0,0,0.3172
0,0,0,0,131072,262144,0,0,0,0,0,0.3175
0,0,0,0,262144,262144,0,0,0,0,0,0.3556
0,0,0,0,524288,262144,0,0,0,0,0,0.4178
0,0,0,0,65536,262144,0,0,0,0,0,0.3056
0,0,0,0,131072,262144,0,0,0,0,0,0.319
0,0,0,0,262144,262144,0,0,0,0,0,0.3559
0,0,0,0,0,262144,0,0,0,0,0,0.2887
62208000,4096,0,0,0,262144,0,0,0,0,0,0.4439
124416000,8192,0,0,0,262144,0,0,0,0,0,0.6496
186624000,12288,0,0,0,262144,0,0,0,0,0,0.922
0,0,0,0,0,65536,0,0,0,0,0,0.1192
62208000,1024,0,0,0,65536,0,0,0,0,0,0.2493
124416000,2048,0,0,0,65536,0,0,0,0,0,0.424
186624000,3072,0,0,0,65536,0,0,0,0,0,0.6435
248832000,4096,0,0,0,65536,0,0,0,0,0,0.8878
0,0,0,0,0,131072,0,0,0,0,0,0.1843
55296000,4096,0,0,0,131072,0,0,0,0,0,0.3008
110592000,8192,0,0,0,131072,0,0,0,0,0,0.4577
165888000,12288,0,0,0,131072,0,0,0,0,0,0.6304
193536000,14336,0,0,0,131072,0,0,0,0,0,0.806
221184000,16384,0,0,0,131072,0,0,0,0,0,0.9368
0,0,0,0,0,131072,0,0,0,0,0,0.1808
18432000,4096,0,0,0,131072,0,0,0,0,0,0.2295
36864000,8192,0,0,0,131072,0,0,0,0,0,0.2814
73728000,16384,0,0,0,131072,0,0,0,0,0,0.3689
147456000,32768,0,0,0,131072,0,0,0,0,0,0.7034
175104000,38912,0,0,0,131072,0,0,0,0,0,0.8061
184320000,40960,0,0,0,131072,0,0,0,0,0,0.8508
193536000,43008,0,0,0,131072,0,0,0,0,0,0.8902
0,0,0,0,0,131072,0,0,0,0,0,0.1787
51840000,2048,0,0,0,131072,0,0,0,0,0,0.2836
103680000,4096,0,0,0,131072,0,0,0,0,0,0.41
155520000,6144,0,0,0,131072,0,0,0,0,0,0.5979
207360000,8192,0,0,0,131072,0,0,0,0,0,0.8781
0,0,0,0,0,131072,0,0,0,0,0,0.1745
62208000,4096,0,0,0,131072,0,0,0,0,0,0.3366
124416000,8192,0,0,0,131072,0,0,0,0,0,0.5558
186624000,12288,0,0,0,131072,0,0,0,0,0,0.8075
217728000,14336,0,0,0,131072,0,0,0,0,0,0.9432
0,0,0,0,0,131072,0,0,0,0,0,0.1746
41472000,4096,0,0,0,131072,0,0,0,0,0,0.2708
82944000,8192,0,0,0,131072,0,0,0,0,0,0.3808
124416000,12288,0,0,0,131072,0,0,0,0,0,0.545
165888000,16384,0,0,0,131072,0,0,0,0,0,0.7504
186624000,18432,0,0,0,131072,0,0,0,0,0,0.8419
207360000,20480,0,0,0,131072,0,0,0,0,0,0.9449
0,0,0,0,0,262144,0,0,9216000,512,0,0.3111
0,0,0,0,0,262144,0,0,36864000,2048,0,0.415
0,0,0,0,0,262144,0,0,36864000,2048,0,0.592
0,0,0,0,0,262144,0,0,92160000,5120,0,0.7438
0,0,0,0,0,262144,0,0,101376000,5632,0,0.7891
0,0,0,0,0,262144,0,0,9216000,1024,0,0.3259
0,0,0,0,0,262144,0,0,36864000,4096,0,0.4317
0,0,0,0,0,262144,0,0,73728000,8192,0,0.6226
0,0,0,0,0,262144,0,0,92160000,10240,0,0.7687
0,0,73728000,4096,0,262144,0,0,0,0,0,0.3578
0,0,147456000,8192,0,262144,0,0,0,0,0,0.4338
0,0,294912000,16384,0,262144,0,0,0,0,0,0.7596
0,0,322560000,17920,0,262144,0,0,0,0,0,0.8281
0,0,331776000,18432,0,262144,0,0,0,0,0,0.8583
0,0,9216000,1024,0,262144,0,0,0,0,0,0.3
0,0,36864000,4096,0,262144,0,0,0,0,0,0.33
0,0,73728000,8192,0,262144,0,0,0,0,0,0.3807
0,0,147456000,16384,0,262144,0,0,0,0,0,0.5294
0,0,267264000,29696,0,262144,0,0,0,0,0,0.8267
0,0,276480000,30720,0,262144,0,0,0,0,0,0.8383
0,0,285696000,31744,0,262144,0,0,0,0,0,0.8807
0,0,304128000,33792,0,262144,0,0,0,0,0,0.9358
0,0,18432000,4096,0,262144,0,0,0,0,0,0.3146
0,0,36864000,8192,0,262144,0,0,0,0,0,0.3423
0,0,73728000,16384,0,262144,0,0,0,0,0,0.4297
0,0,147456000,32768,0,262144,0,0,0,0,0,0.6317
0,0,193536000,43008,0,262144,0,0,0,0,0,0.8157
0,0,198144000,44032,0,262144,0,0,0,0,0,0.8334
0,0,202752000,45056,0,262144,0,0,0,0,0,0.8558
0,0,207360000,46080,0,262144,0,0,0,0,0,0.8684
124416000,8192,0,0,0,8192,0,0,0,0,0,0.2235
248832000,16384,0,0,0,16384,0,0,0,0,0,0.5231
311040000,20480,0,0,0,20480,0,0,0,0,0,0.7591
373248000,24576,0,0,0,24576,0,0,0,0,0,0.9765
110592000,16384,0,0,0,16384,0,0,0,0,0,0.2451
165888000,24576,0,0,0,24576,0,0,0,0,0,0.379
221184000,32768,0,0,0,32768,0,0,0,0,0,0.5328
248832000,36864,0,0,0,36864,0,0,0,0,0,0.6602
276480000,40960,0,0,0,40960,0,0,0,0,0,0.7768
304128000,45056,0,0,0,45056,0,0,0,0,0,0.8952
103680000,4096,0,0,0,4096,0,0,0,0,0,0.1778
207360000,8192,0,0,0,8192,0,0,0,0,0,0.3551
259200000,10240,0,0,0,10240,0,0,0,0,0,0.4408
311040000,12288,0,0,0,12288,0,0,0,0,0,0.7299
362880000,14336,0,0,0,14336,0,0,0,0,0,0.8883
62208000,8192,0,0,0,8192,0,0,0,0,0,0.1806
124416000,16384,0,0,0,16384,0,0,0,0,0,0.3039
186624000,24576,0,0,0,24576,0,0,0,0,0,0.488
248832000,32768,0,0,0,32768,0,0,0,0,0,0.6641
279936000,36864,0,0,0,36864,0,0,0,0,0,0.87
62208000,4096,0,0,0,4096,0,0,0,0,0,0.1598
124416000,8192,0,0,0,8192,0,0,0,0,0,0.2668
186624000,12288,0,0,0,12288,0,0,0,0,0,0.3934
248832000,16384,0,0,0,16384,0,0,0,0,0,0.5817
279936000,18432,0,0,0,18432,0,0,0,0,0,0.727
311040000,20480,0,0,0,20480,0,0,0,0,0,0.9264
124416000,4096,0,0,0,4096,0,0,0,0,0,0.2031
186624000,6144,0,0,0,6144,0,0,0,0,0,0.3295
248832000,8192,0,0,0,8192,0,0,0,0,0,0.5342
279936000,9216,0,0,0,9216,0,0,0,0,0,0.6401
311040000,10240,0,0,0,10240,0,0,0,0,0,0.8557
342144000,11264,0,0,0,11264,0,0,0,0,0,0.9762
0,0,0,0,0,262144,0,0,101376000,11264,0,0.8348
0,0,0,0,0,262144,0,0,73728000,8192,0,0.5369
0,0,0,0,0,262144,0,0,18432000,4096,0,0.3856
0,0,0,0,0,262144,0,0,36864000,8192,0,0.5195
0,0,0,0,0,262144,0,0,55296000,12288,0,0.7036
0,0,0,0,0,262144,0,0,73728000,16384,0,0.8886
0,0,0,0,0,262144,0,0,12288000,4096,0,0.4188
0,0,0,0,0,262144,0,0,24576000,8192,0,0.5592
0,0,0,0,0,262144,0,0,36864000,12288,0,0.8027
124416000,16384,0,0,0,16384,0,0,0,0,0,0.3041
155520000,20480,0,0,0,20480,0,0,0,0,0,0.3899
186624000,24576,0,0,0,24576,0,0,0,0,0,0.4713
217728000,28672,0,0,0,28672,0,0,0,0,0,0.589
248832000,32768,0,0,0,32768,0,0,0,0,0,0.695
124416000,8192,0,0,0,8192,0,0,0,0,0,0.2442
248832000,16384,0,0,0,16384,0,0,0,0,0,0.5665
124416000,4096,0,0,0,4096,0,0,0,0,0,0.2197
248832000,8192,0,0,0,8192,0,0,0,0,0,0.5074
0,0,155520000,20480,0,20480,0,0,0,0,0,0.415
0,0,186624000,24576,0,24576,0,0,0,0,0,0.5328
0,0,217728000,28672,0,28672,0,0,0,0,0,0.6341
