Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
0,0,0,0,0,168000,0,0,122880000,25600,0,0.4461
0,0,0,0,0,168000,0,0,122880000,40000,0,0.4889
0,0,0,0,0,168000,0,0,18432000,4000,0,0.1822
0,0,0,0,0,168000,0,0,24576000,5280,0,0.234
0,0,0,0,0,168000,0,0,73728000,16000,0,0.4154
0,6,0,0,0,168000,0,0,12288000,2640,0,0.1643
0,0,0,0,0,168000,0,0,36864000,7920,0,0.3222
124416000,24000,0,0,0,24000,0,0,124416000,24000,0,0.3784
155520000,30000,0,0,0,30000,0,0,155520000,30000,0,0.4702
186624000,36000,0,0,0,36000,0,0,186624000,36000,0,0.6343
217728000,42000,0,0,0,42000,0,0,217728000,42000,0,0.7728
