Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
186624000,6144,0,0,0,0,0,0,0,0,0,0.1327
373248000,12288,0,0,0,0,0,0,0,0,0,0.2794
559872000,18432,0,0,0,0,0,0,0,0,0,0.4992
746496000,24576,0,0,0,0,0,0,0,0,0,0.7861
559872000,36864,0,0,0,0,0,0,0,0,0,0.7251
684288000,11264,0,0,0,0,0,0,0,0,0,0.494
870912000,14336,0,0,0,0,0,0,0,0,0,0.519
1057536000,17408,0,0,0,0,0,0,0,0,0,0.7834
497664000,36864,0,0,0,0,0,0,0,0,0,0.4509
580608000,43008,0,0,0,0,0,0,0,0,0,0.537
663552000,49152,0,0,0,0,0,0,0,0,0,0.642
718848000,53248,0,0,0,0,0,0,0,0,0,0.6813
801792000,59392,0,0,0,0,0,0,0,0,0,0.8004
294912000,65536,0,0,0,0,0,0,0,0,0,0.3937
51840000,2048,0,0,0,0,0,0,0,0,0,0.064
103680000,4096,0,0,0,0,0,0,0,0,0,0.083
155520000,6144,0,0,0,0,0,0,0,0,0,0.096
207360000,8192,0,0,0,0,0,0,0,0,0,0.101
124416000,8192,0,0,0,0,0,0,0,0,0,0.099
186624000,12288,0,0,0,0,0,0,0,0,0,0.1142
217728000,14336,0,0,0,0,0,0,0,0,0,0.1074
41472000,4096,0,0,0,0,0,0,0,0,0,0.0808
82944000,8192,0,0,0,0,0,0,0,0,0,0.089
124416000,12288,0,0,0,0,0,0,0,0,0,0.1045
165888000,16384,0,0,0,0,0,0,0,0,0,0.1609
186624000,18432,0,0,0,0,0,0,0,0,0,0.127
207360000,20480,0,0,0,0,0,0,0,0,0,0.139
221184000,32768,0,0,0,0,0,0,0,0,0,0.338
304128000,45056,0,0,0,0,0,0,0,0,0,0.517
359424000,53248,0,0,0,0,0,0,0,0,0,0.5984
414720000,61440,0,0,0,0,0,0,0,0,0,0.7229
442368000,65536,0,0,0,0,0,0,0,0,0,0.7764
259200000,10240,0,0,0,0,0,0,0,0,0,0.12
311040000,12288,0,0,0,0,0,0,0,0,0,0.1386
362880000,14336,0,0,0,0,0,0,0,0,0,0.177
248832000,32768,0,0,0,0,0,0,0,0,0,0.357
342144000,45056,0,0,0,0,0,0,0,0,0,0.542
435456000,57344,0,0,0,0,0,0,0,0,0,0.762
279936000,18432,0,0,0,0,0,0,0,0,0,0.13
311040000,20480,0,0,0,0,0,0,0,0,0,0.2486
653184000,21504,0,0,0,0,0,0,0,0,0,0.418
839808000,27648,0,0,0,0,0,0,0,0,0,0.608
933120000,30720,0,0,0,0,0,0,0,0,0,0.761
