Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
373248000,242247,0,0,0,0,0,0,0,0,0,0.2641
559872000,379051,0,0,0,0,0,0,0,0,0,0.4785
746496000,492375,0,0,0,0,0,0,0,0,0,0.711
373248000,175837,0,0,0,0,0,0,0,0,0,0.2371
559872000,276982,0,0,0,0,0,0,0,0,0,0.437
746496000,361560,0,0,0,0,0,0,0,0,0,0.6601
165888000,22600,0,0,0,0,0,0,0,0,0,0.0934
331776000,45100,0,0,0,0,0,0,0,0,0,0.1622
497664000,70100,0,0,0,0,0,0,0,0,0,0.2613
580608000,81300,0,0,0,0,0,0,0,0,0,0.3386
663552000,92600,0,0,0,0,0,0,0,0,0,0.4373
55296000,8400,0,0,0,0,0,0,0,0,0,0.0697
110592000,16700,0,0,0,0,0,0,0,0,0,0.0723
221184000,34000,0,0,0,0,0,0,0,0,0,0.0762
881280000,136000,0,0,0,0,0,0,0,0,0,0.294
1036800000,170000,0,0,0,0,0,0,0,0,0,0.419
311040000,43367,0,0,0,0,0,0,0,0,0,0.15
373248000,51368,0,0,0,0,0,0,0,0,0,0.179
435456000,59718,0,0,0,0,0,0,0,0,0,0.211
497664000,68338,0,0,0,0,0,0,0,0,0,0.245
373248000,51992,0,0,0,0,0,0,0,0,0,0.117
466560000,64563,0,0,0,0,0,0,0,0,0,0.168
559872000,77604,0,0,0,0,0,0,0,0,0,0.196
653184000,89214,0,0,0,0,0,0,0,0,0,0.235
746496000,103203,0,0,0,0,0,0,0,0,0,0.3
