Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
0,0,0,0,0,0,0,16,0,0,0,0.6088
0,0,0,0,0,0,0,32,0,0,0,0.6322
0,0,0,0,0,0,0,64,0,0,0,0.6571
62208000,2048,0,0,0,67109.15,0,0,0,0,0,0.5652
124416000,4096,0,0,0,66344.65,0,0,0,0,0,0.8057
186624000,6144,0,0,0,66034.4,0,0,0,0,0,0.9254
18432000,2048,0,0,0,69735.49,0,0,0,0,0,0.5674
36864000,4096,0,0,0,69886.43,0,0,0,0,0,0.6735
55296000,6144,0,0,0,69558.07,0,0,0,0,0,0.7643
73728000,8192,0,0,0,69925.89,0,0,0,0,0,0.8614
0,0,0,0,12729.61,12729.61,0,0,31104000,4096,0,0.6911
0,0,0,0,8514.64,8514.64,0,0,31104000,4096,0,0.461
0,0,0,0,4253.43,4253.43,0,0,31104000,4096,0,0.2377
0,0,0,0,4439.86,4439.86,0,0,9216000,1024,0,0.5576
0,0,0,0,3340.12,3340.12,0,0,9216000,1024,0,0.3819
0,0,0,0,2224.21,2224.21,0,0,9216000,1024,0,0.2973
0,0,0,0,0,0,0,0,31104000,4096,0,0.6783
0,0,0,0,0,0,0,0,31104000,4096,0,0.4402
0,0,0,0,0,0,0,0,31104000,4096,0,0.2454
0,0,0,0,0,0,0,0,9216000,1024,0,0.6495
0,0,0,0,0,0,0,0,9216000,1024,0,0.4854
0,0,0,0,0,0,0,0,9216000,1024,0,0.2855
0,0,0,0,6496.33,0,0,0,0,0,0,0.1357
0,0,0,0,130161.9,0,0,0,0,0,0,0.2914
0,0,0,0,257642.98,0,0,0,0,0,0,0.7254
0,0,0,0,31603.65,0,0,0,0,0,0,0.0929
0,0,0,0,63835.1,0,0,0,0,0,0,0.1862
0,0,0,0,130233.66,0,0,0,0,0,0,0.5177
0,0,0,0,16550.58,0,0,0,0,0,0,0.0761
0,0,0,0,33542.84,0,0,0,0,0,0,0.145
0,0,0,0,67222.91,0,0,0,0,0,0,0.3381
0,0,0,0,0,68046.07,0,0,0,0,0,0.1199
0,0,0,0,0,67985.76,0,0,0,0,0,0.1116
0,0,0,0,0,68063.6,0,0,0,0,0,0.1121
0,0,0,0,0,34560.09,0,0,0,0,0,0.0802
0,0,0,0,0,17778.73,0,0,0,0,0,0.0666
0,0,0,0,0,64610.78,0,0,0,0,0,0.1462
0,0,0,0,0,129034.38,0,0,0,0,0,0.2775
0,0,0,0,0,261373.92,0,0,0,0,0,0.6493
0,0,0,0,0,32370.6,0,0,0,0,0,0.0988
0,0,0,0,0,65543.26,0,0,0,0,0,0.1795
0,0,0,0,0,130651.3,0,0,0,0,0,0.3654
0,0,0,0,0,17191.43,0,0,0,0,0,0.0748
0,0,0,0,0,34469.61,0,0,0,0,0,0.1181
0,0,0,0,0,68790.35,0,0,0,0,0,0.2348
0,0,0,0,0,17222.23,0,0,0,0,0,0.0779
0,0,0,0,0,34437.48,0,0,0,0,0,0.1218
0,0,0,0,0,48740.88,0,0,0,0,0,0.2561
0,0,0,0,0,16554.26,0,0,0,0,0,0.0859
0,0,0,0,0,33239.21,0,0,0,0,0,0.133
0,0,0,0,0,65027.85,0,0,0,0,0,0.3453
0,0,0,0,0,17420.21,0,0,0,0,0,0.0863
0,0,0,0,0,34961.46,0,0,0,0,0,0.1356
0,0,0,0,0,69885.94,0,0,0,0,0,0.3502
