Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
0,0,0,0,0,138167.58,0,16,0,0,0,0.2066
0,0,0,0,0,138167.41,0,32,0,0,0,0.225
0,0,0,0,0,138133.32,0,64,0,0,0,0.2327
248832000,8192,0,0,0,138161.58,0,0,0,0,0,0.8725
186624000,6144,0,0,0,138193.16,0,0,0,0,0,0.806
124416000,4096,0,0,0,138145.66,0,0,0,0,0,0.5585
221184000,8192,0,0,0,71103.2,0,0,0,0,0,0.8501
165888000,6144,0,0,0,71106.54,0,0,0,0,0,0.751
110592000,4096,0,0,0,71125.9,0,0,0,0,0,0.569
129024000,14336,0,0,0,70878.74,0,0,0,0,0,0.8211
92160000,10240,0,0,0,70878.85,0,0,0,0,0,0.7236
64512000,7168,0,0,0,70879.21,0,0,0,0,0,0.6294
0,0,0,0,272236.22,272236.22,0,0,93312000,12288,0,0.9391
0,0,0,0,272292.42,272292.42,0,0,62208000,8192,0,0.7964
0,0,0,0,70847.25,70847.25,0,0,36864000,4096,0,0.5005
0,0,0,0,70864.47,70864.47,0,0,27648000,3072,0,0.4096
0,0,0,0,70880.17,70880.17,0,0,18432000,2048,0,0.3385
0,0,0,0,0,0,0,0,124416000,16384,0,0.9376
0,0,0,0,0,0,0,0,93312000,12288,0,0.718
0,0,0,0,0,0,0,0,62208000,8192,0,0.4834
0,0,0,0,0,0,0,0,36864000,4096,0,0.3515
0,0,0,0,0,0,0,0,27648000,3072,0,0.2453
0,0,0,0,0,0,0,0,18432000,2048,0,0.1798
0,0,0,0,272191.01,0,0,0,0,0,0,0.3067
0,0,0,0,136140.04,0,0,0,0,0,0,0.1466
0,0,0,0,68101.93,0,0,0,0,0,0,0.0771
0,0,0,0,138175.47,0,0,0,0,0,0,0.2206
0,0,0,0,69093.59,0,0,0,0,0,0,0.1008
0,0,0,0,17787.68,0,0,0,0,0,0,0.0479
0,0,0,0,71131.42,0,0,0,0,0,0,0.1707
0,0,0,0,35581.21,0,0,0,0,0,0,0.0807
0,0,0,0,17773.89,0,0,0,0,0,0,0.0401
0,0,0,0,0,68058.29,0,0,0,0,0,0.1031
0,0,0,0,0,68076.65,0,0,0,0,0,0.099
0,0,0,0,0,68096.37,0,0,0,0,0,0.0983
0,0,0,0,0,34539.14,0,0,0,0,0,0.0709
0,0,0,0,0,17795.93,0,0,0,0,0,0.0583
0,0,0,0,0,272263.22,0,0,0,0,0,0.3362
0,0,0,0,0,136129.7,0,0,0,0,0,0.1834
0,0,0,0,0,68068.56,0,0,0,0,0,0.1033
0,0,0,0,0,138158.84,0,0,0,0,0,0.2205
0,0,0,0,0,69100.47,0,0,0,0,0,0.1161
0,0,0,0,0,34550.25,0,0,0,0,0,0.0723
0,0,0,0,0,71149.06,0,0,0,0,0,0.1676
0,0,0,0,0,35586.75,0,0,0,0,0,0.0976
0,0,0,0,0,17781.61,0,0,0,0,0,0.0606
0,0,0,0,0,71140.63,0,0,0,0,0,0.15
0,0,0,0,0,35569.88,0,0,0,0,0,0.0937
0,0,0,0,0,17778.36,0,0,0,0,0,0.0577
0,0,0,0,0,71157.03,0,0,0,0,0,0.1468
0,0,0,0,0,35572.37,0,0,0,0,0,0.0931
0,0,0,0,0,17791.91,0,0,0,0,0,0.0554
0,0,0,0,0,70887.05,0,0,0,0,0,0.1662
0,0,0,0,0,35479.44,0,0,0,0,0,0.0947
0,0,0,0,0,17535.32,0,0,0,0,0,0.0543
0,0,0,0,0,0,0,0,124416000,16384,0,0
