Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
0,0,0,0,0,315200,0,0,0,0,0,0.1149
51840000,19700,0,0,0,315200,0,0,0,0,0,0.138
103680000,39400,0,0,0,315200,0,0,0,0,0,0.1624
155520000,59100,0,0,0,315200,0,0,0,0,0,0.1967
207360000,78800,0,0,0,78800,0,0,0,0,0,0.1603
207360000,78800,0,0,0,315200,0,0,0,0,0,0.2341
0,0,0,0,168000,168000,0,0,0,0,0,0.1
0,0,0,0,168000,168000,0,0,0,0,0,0.08
0,0,0,0,0,168000,0,0,0,0,0,0.0471
51840000,10500,0,0,0,168000,0,0,0,0,0,0.0738
103680000,21000,0,0,0,168000,0,0,0,0,0,0.1038
155520000,31500,0,0,0,31500,0,0,0,0,0,0.0914
155520000,31500,0,0,0,168000,0,0,0,0,0,0.1227
46080000,15600,0,0,0,124800,0,0,0,0,0,0.0538
92160000,31200,0,0,0,124800,0,0,0,0,0,0.0793
161280000,54600,0,0,0,124800,0,0,0,0,0,0.1246
368640000,124800,0,0,0,124800,0,0,0,0,0,0.3731
165888000,62400,0,0,0,249600,0,0,0,0,0,0.1871
248832000,93600,0,0,0,249600,0,0,0,0,0,0.2728
217728000,83300,0,0,0,190400,0,0,0,0,0,0.2305
0,0,0,0,0,164800,0,0,61440000,20000,0,0.1193
0,0,0,0,0,164800,0,0,84480000,27500,0,0.1281
0,0,0,0,0,164800,0,0,122880000,25600,0,0.1733
0,0,0,0,0,131072,8,0,0,0,0,0.074
0,0,0,0,0,131072,16,0,0,0,0,0.0755
0,0,0,0,0,131072,0,8,0,0,0,0.095
0,0,0,0,0,131072,0,16,0,0,0,0.098
0,0,0,0,0,164800,0,0,122880000,40000,0,0.175
311040000,61800,0,0,0,61800,0,0,0,0,0,0.2323
207360000,41400,0,0,0,41400,0,0,0,0,0,0.1317
230400000,46000,0,0,0,46000,0,0,0,0,0,0.1557
253440000,50600,0,0,0,50600,0,0,0,0,0,0.1803
248832000,93600,0,0,0,93600,0,0,0,0,0,0.2289
248832000,48000,0,0,0,48000,0,0,0,0,0,0.1852
0,0,0,0,0,164800,0,0,36864000,8000,0,0.1146
0,0,0,0,0,164800,0,0,92160000,19200,0,0.1063
124416000,24000,0,0,0,24000,0,0,0,0,0,0.0807
155520000,30000,0,0,0,30000,0,0,0,0,0,0.1142
186624000,36000,0,0,0,36000,0,0,0,0,0,0.1412
217728000,42000,0,0,0,42000,0,0,0,0,0,0.1726
248832000,48000,0,0,0,48000,0,0,0,0,0,0.1873
