Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS)(Pure),Smart Guard(General Motion)(Total Decode Bit Rate),Always Record(Total Record Bit Rate),IVS Channel(Resolution*FPS)(Pure),IVS Channel(Bit Rate),const,Loading Avg
124416000,16384,0,0,16384,0,0,0,0.1184
155520000,20480,0,0,20480,0,0,0,0.1612
186624000,24576,0,0,24576,0,0,0,0.2053
217728000,28672,0,0,28672,0,0,0,0.2449
248832000,32768,0,0,32768,0,0,0,0.299
124416000,16384,0,0,16384,124416000,16384,0,0.1782
248832000,32768,0,0,32768,248832000,32768,0,0.4132
124416000,16384,124416000,16384,16384,0,0,0,0.1356
248832000,32768,248832000,32768,32768,0,0,0,0.3525
155520000,20480,0,0,20480,155520000,20480,0,0.2376
186624000,24576,0,0,24576,186624000,24576,0,0.2698
217728000,28672,0,0,28672,217728000,28672,0,0.3776
