Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
62208000,2048,0,0,0,0,0,0,0,0,0,0.1152
124416000,4096,0,0,0,0,0,0,0,0,0,0.1509
186624000,6144,0,0,0,0,0,0,0,0,0,0.2158
248832000,8192,0,0,0,0,0,0,0,0,0,0.3081
62208000,4096,0,0,0,0,0,0,0,0,0,0.1133
124416000,8192,0,0,0,0,0,0,0,0,0,0.1756
186624000,12288,0,0,0,0,0,0,0,0,0,0.2475
248832000,16384,0,0,0,0,0,0,0,0,0,0.3589
311040000,20480,0,0,0,0,0,0,0,0,0,0.5295
373248000,24576,0,0,0,0,0,0,0,0,0,0.919
124416000,4096,0,0,0,65536,0,0,0,0,0,0.168
186624000,6144,0,0,0,65536,0,0,0,0,0,0.2273
186624000,6144,0,0,131072,0,0,0,0,0,0,0.257
0,0,0,0,65536,0,0,0,0,0,0,0.0747
124416000,4096,0,0,131072,0,0,0,0,0,0,0.168
186624000,6144,0,0,65536,65536,0,0,0,0,0,0.245
0,0,0,0,131072,131072,0,0,0,0,0,0.0656
0,0,0,0,65536,131072,0,0,0,0,0,0.1698
0,0,0,0,131072,131072,0,0,0,0,0,0.17
0,0,0,0,262144,131072,0,0,0,0,0,0.0946
0,0,0,0,0,131072,0,0,0,0,0,0.0619
62208000,4096,0,0,0,131072,0,0,0,0,0,0.1273
124416000,8192,0,0,0,131072,0,0,0,0,0,0.1899
186624000,12288,0,0,0,131072,0,0,0,0,0,0.2517
248832000,16384,0,0,0,131072,0,0,0,0,0,0.3724
311040000,20480,0,0,0,131072,0,0,0,0,0,0.5312
373248000,24576,0,0,0,131072,0,0,0,0,0,0.9261
0,0,0,0,0,32768,0,0,0,0,0,0.0782
62208000,1024,0,0,0,32768,0,0,0,0,0,0.1046
124416000,2048,0,0,0,32768,0,0,0,0,0,0.1896
186624000,3072,0,0,0,32768,0,0,0,0,0,0.2314
248832000,4096,0,0,0,32768,0,0,0,0,0,0.3263
311040000,5120,0,0,0,32768,0,0,0,0,0,0.4269
0,0,0,0,0,65536,0,0,0,0,0,0.0658
110592000,8192,0,0,0,65536,0,0,0,0,0,0.3177
165888000,12288,0,0,0,65536,0,0,0,0,0,0.679
27648000,2048,0,0,0,65536,0,0,0,0,0,0.1224
0,0,0,0,0,65536,0,0,0,0,0,0.0657
51840000,2048,0,0,0,65536,0,0,0,0,0,0.1134
103680000,4096,0,0,0,65536,0,0,0,0,0,0.1594
155520000,6144,0,0,0,65536,0,0,0,0,0,0.198
207360000,8192,0,0,0,65536,0,0,0,0,0,0.266
259200000,10240,0,0,0,65536,0,0,0,0,0,0.369
0,0,0,0,0,65536,0,0,0,0,0,0.0646
62208000,4096,0,0,0,65536,0,0,0,0,0,0.1272
186624000,12288,0,0,0,65536,0,0,0,0,0,0.2975
0,0,0,0,0,65536,0,0,0,0,0,0.0683
41472000,4096,0,0,0,65536,0,0,0,0,0,0.1109
82944000,8192,0,0,0,65536,0,0,0,0,0,0.1658
124416000,12288,0,0,0,65536,0,0,0,0,0,0.2283
165888000,16384,0,0,0,65536,0,0,0,0,0,0.2824
186624000,18432,0,0,0,65536,0,0,0,0,0,0.3337
0,0,0,0,0,131072,0,0,9216000,512,0,0.0712
0,0,0,0,0,131072,0,0,36864000,2048,0,0.1072
0,0,0,0,0,131072,0,0,73728000,4096,0,0.1548
0,0,0,0,0,131072,0,0,92160000,5120,0,0.1801
0,0,0,0,0,131072,0,0,110592000,6144,0,0.2009
0,0,0,0,0,131072,0,0,9216000,1024,0,0.091
0,0,0,0,0,131072,0,0,36864000,4096,0,0.1438
0,0,0,0,0,131072,0,0,73728000,8192,0,0.2159
0,0,0,0,0,131072,0,0,92160000,10240,0,0.2659
0,0,0,0,0,131072,0,0,101376000,11264,0,0.282
0,0,0,0,0,131072,0,0,110592000,12288,0,0.312
0,0,0,0,0,131072,16,0,0,0,0,0.074
0,0,0,0,0,131072,32,0,0,0,0,0.0755
0,0,0,0,0,131072,0,16,0,0,0,0.095
0,0,0,0,0,131072,0,32,0,0,0,0.098
0,0,73728000,4096,0,131072,0,0,0,0,0,0.0972
0,0,147456000,8192,0,131072,0,0,0,0,0,0.1504
0,0,184320000,10240,0,131072,0,0,0,0,0,0.183
0,0,221184000,12288,0,131072,0,0,0,0,0,0.2306
0,0,294912000,16384,0,131072,0,0,0,0,0,0.3549
0,0,129024000,14336,0,131072,0,0,0,0,0,0.1507
0,0,239616000,26624,0,131072,0,0,0,0,0,0.356
0,0,276480000,30720,0,131072,0,0,0,0,0,0.425
0,0,294912000,32768,0,131072,0,0,0,0,0,0.4803
0,0,119808000,26624,0,131072,0,0,0,0,0,0.2642
0,0,138240000,30720,0,131072,0,0,0,0,0,0.33
0,0,147456000,32768,0,131072,0,0,0,0,0,0.3621
124416000,8192,0,0,0,8192,0,0,0,0,0,0.126
248832000,16384,0,0,0,16384,0,0,0,0,0,0.194
186624000,12288,0,0,0,12288,0,0,0,0,0,0.275
27648000,4096,0,0,0,16384,0,0,0,0,0,0.0759
55296000,8192,0,0,0,24576,0,0,0,0,0,0.1423
82944000,12288,0,0,0,32768,0,0,0,0,0,0.1806
103680000,4096,0,0,0,4096,0,0,0,0,0,0.082
207360000,8192,0,0,0,8192,0,0,0,0,0,0.174
259200000,10240,0,0,0,10240,0,0,0,0,0,0.23
62208000,8192,0,0,0,8192,0,0,0,0,0,0.09
124416000,16384,0,0,0,16384,0,0,0,0,0,0.179
186624000,24576,0,0,0,24576,0,0,0,0,0,0.2876
248832000,32768,0,0,0,32768,0,0,0,0,0,0.48
62208000,4096,0,0,0,4096,0,0,0,0,0,0.063
124416000,8192,0,0,0,8192,0,0,0,0,0,0.126
186624000,12288,0,0,0,12288,0,0,0,0,0,0.206
248832000,16384,0,0,0,16384,0,0,0,0,0,0.302
124416000,4096,0,0,0,4096,0,0,0,0,0,0.102
186624000,6144,0,0,0,6144,0,0,0,0,0,0.156
248832000,8192,0,0,0,8192,0,0,0,0,0,0.217
279936000,9216,0,0,0,9216,0,0,0,0,0,0.262
311040000,10240,0,0,0,10240,0,0,0,0,0,0.406
0,0,0,0,0,131072,0,0,36864000,8192,0,0.203
0,0,0,0,0,131072,0,0,55296000,12288,0,0.264
0,0,0,0,0,131072,0,0,73728000,16384,0,0.3432
0,0,0,0,0,131072,0,0,24576000,8192,0,0.1695
0,0,0,0,0,131072,0,0,36864000,12288,0,0.2307
0,0,0,0,131072,65536,0,0,0,0,0,0.078
62208000,2048,0,0,131072,65536,0,0,0,0,0,0.1299
124416000,4096,0,0,131072,65536,0,0,0,0,0,0.1817
186624000,6144,0,0,131072,65536,0,0,0,0,0,0.249
0,0,0,0,0,0,0,0,0,0,0,0.029
