Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
124416000,24000,0,0,0,24000,0,0,0,0,0,0.0807
155520000,30000,0,0,0,30000,0,0,0,0,0,0.1142
186624000,36000,0,0,0,36000,0,0,0,0,0,0.1412
217728000,42000,0,0,0,42000,0,0,0,0,0,0.1726
248832000,48000,0,0,0,48000,0,0,0,0,0,0.1873
124416000,24000,0,0,0,24000,0,0,124416000,24000,0,0.1098
124416000,24000,124416000,24000,0,24000,0,0,0,0,0,0.0873
155520000,30000,0,0,0,30000,0,0,155520000,30000,0,0.1345
186624000,36000,0,0,0,36000,0,0,186624000,36000,0,0.2165
217728000,42000,0,0,0,42000,0,0,217728000,42000,0,0.2705
155520000,30000,155520000,30000,0,30000,0,0,0,0,0,0.1182
186624000,36000,186624000,36000,0,36000,0,0,0,0,0,0.1481
217728000,42000,217728000,42000,0,42000,0,0,0,0,0,0.1778
248832000,48000,248832000,48000,0,48000,0,0,0,0,0,0.2055
